support vector machine	Support-vector machine
magnetism	Magnetism
superconductivity	Superconductivity
ferromagnetism	Ferromagnetism
tm	TM
hall effect	Hall effect
majorana fermions	Majorana fermion
wire	Wire
thinning	Thinning
phase transformation	Phase transition
fracture	Fracture
ingress	Ingress
concrete cover	Concrete cover
hooks	Hooks
beams	Beams
columns	Column
linear model	Linear model
logical inference	Inference
pb	Lead
churn	Churn
slugs	Slug
slug	Slug
database	Database
wasi	Wasi
nomad	Nomad
seabass	Sea bass
bb	BB
rationalization	Rationalization
supplies	Supply
case studies	Case study
e-procurement	E-procurement
supply chain	Supply chain
feature extraction	Feature extraction
deep neural networks	Deep learning
features	Feature
performance	Performance
real-time control	Real-time computing
methods	Method
mineral	Mineral
semantic networks	Semantic network
ejected	Ejection
corrosion	Corrosion
barrier layer	Diffusion barrier
anodizing	Anodizing
electrolyte	Electrolyte
pores	Pore
polymers	Polymer
chemical vapor deposition	Chemical vapor deposition
fluidized bed	Fluidized bed
carbon nanotubes	Carbon nanotube
cnts	CNTS
trial-and-error	Trial and error
hidden node	Hidden node problem
generalization	Generalization
elm	Elm
silica	Silicon dioxide
bulk	Bulk
weakening	Weakening
trapped	Trapped
relative permeability	Relative permeability
electrical conductivity	Electrical resistivity and conductivity
ferrite	Ferrite
ferromagnetic	Ferromagnetism
austenite	Austenite
paramagnetic	Paramagnetism
decarburisation	Decarburization
steel	Steel
finite element	Finite element method
microstructures	Microstructure
sensor	Sensor
monte carlo algorithm	Monte Carlo algorithm
conjugate gradient algorithm	Conjugate gradient method
box	Box
evac	Evac
he	He
tevatron	Tevatron
large hadron collider	Large Hadron Collider
hadron collider	Hadron collider
higgs boson	Higgs boson
standard model	Standard Model
sm	SM
higgs	Higgs
reactions	Reaction
norbornene	Norbornene
norbornadiene	Norbornadiene
transients	Transience
picket fence	Picket fence
double exchange mechanism	Double-exchange mechanism
double-exchange mechanisms	Double-exchange mechanism
electron transfer	Electron transfer
electron	Electron
mo	Mo
replacement	Replacement
double exchange mechanisms	Double-exchange mechanism
iron	Iron
mossbauer spectroscopy	Mössbauer spectroscopy
compounds	Compound
ca	CA
sr	SR
ba	BA
inverse modelling	Inverse problem
experimental data	Experimental data
potentiometers	Potentiometer
parameters	Parameter
genetic algorithm	Genetic algorithm
ga	GA
synthetic data	Synthetic data
algorithms	Algorithm
optimization algorithms	Algorithm
vacuum state	Quantum vacuum state
vacuum	Vacuum
sio2	Silicon dioxide
unpaired electron	Unpaired electron
thermal oxidation	Thermal oxidation
positive charge	Electric charge
blood clot	Thrombus
gp	GP
dirac equation	Dirac equation
pauli equation	Pauli equation
objects	Object
lattice	Lattice
lattice model	Lattice model
polynomial expansion	Polynomial expansion
irreducible representation	Irreducible representation
irrep	Irreducible representation
h	H
vector mesons	Vector meson
variables	Variable
distance function	Metric (mathematics)
analysis	Analysis
standard algorithms	Standard algorithms
training data	Training, validation, and test sets
k-means	K-means clustering
grid search	Hyperparameter optimization
elderly people	Old age
patient	Patient
microphone	Microphone
speaker	Speaker
monitor	Monitor
communicate	Communication
robot	Robot
art model	Model (art)
baryons	Baryon
λ	Lambda
σ	Sigma
mesons	Meson
π	Pi (disambiguation)
ρ	Rho
η	Eta
k	K
hadron	Hadron
kaon	Kaon
heavy ion	High-energy nuclear physics
collisions	Collision
quantum chromodynamics	Quantum chromodynamics
qcd	Quantum chromodynamics
step-growth polymerization	Step-growth polymerization
free radical polymerization	Radical polymerization
polyesters	Polyester
polyamide	Polyamide
epoxies	Epoxies
solution	Solution
dispersed media	Dispersed media
emulsion	Emulsion
dispersion	Dispersion
bulk polymerization	Bulk polymerization
polymerization	Polymerization
reaction	Reaction
dilution	Dilution
reactants	Reagent
organic solvents	Solvent
droplets	Drop (liquid)
thin film	Thin film
crystal structure	Crystal structure
energy conservation	Energy conservation
finite element method	Finite element method
friction	Friction
dissipation	Dissipation
copolymerization	Copolymer
copolymers	Copolymer
acrylates	Acrylate
water-gas shift reaction	Water-gas shift reaction
industrial processes	Industrial processes
catalysts	Catalysis
calcite	Calcite
heated	Heated
catalyst	Catalysis
quantum computation	Quantum computing
linear collider	Linear particle accelerator
reinforcement learning	Reinforcement learning
pattern matching	Pattern matching
agents	Agent
unified framework	Unified framework
coating	Coating
ra	Ra
roughness	Roughness
design method	Design methods
platform	Platform
virtual network	Network virtualization
see-saw mechanism	Seesaw mechanism
quark	Quark
yukawa couplings	Yukawa interaction
studies	Study
toxic effects	Toxicity
nanotubes	Carbon nanotube
algae	Algae
isochrysis galbana	Isochrysis galbana
incubated	Incubation
cells	Cell
chloroplasts	Chloroplast
aerospace	Aerospace
automotives	Vehicle
adhesives	Adhesive
microstructure	Microstructure
fracture toughness	Fracture toughness
organic	Organic
curing	Cure (disambiguation)
additives	Additive
hybrid material	Hybrid material
thermogravimetric analysis	Thermogravimetric analysis
tga	TGA
reducing conditions	Reducing atmosphere
weight change	Weight transfer (dancing)
perovskite	Perovskite
calcination	Calcination
conductivity	Conductivity
in situ adaptive tabulation	In situ adaptive tabulation
solid	Solid
modifications	Modification
rails	Rail
tracks	Track
clathrate hydrates	Clathrate hydrate
thermal conductivity	Thermal conductivity
bin	BIN
cam	Cam
continuous function	Continuous function
least-squares fit	Least squares
polynomials	Polynomial
coefficients	Coefficient
block copolymers	Copolymer
micelles	Micelle
dynamic light scattering	Dynamic light scattering
dsc	DSC
self-assembly	Self-assembly
polymer	Polymer
doxorubicin	Doxorubicin
cytotoxicity	Cytotoxicity
hyperthermia	Hyperthermia
aggregation	Aggregation
coupling	Coupling
constitutive equations	Constitutive equation
porous media	Porous medium
u	U
extension	Extension
disambiguation	Word-sense disambiguation
throttle valve	Throttle
energy saving	Energy conservation
warped geometry	Warped geometry
localization	Localization
toll-like receptors	Toll-like receptor
antigen-presenting cells	Antigen-presenting cell
tlr9	TLR9
clinical studies	Clinical trial
adjuvant	Adjuvant
mouse model	Model organism
liposomes	Liposome
curse of dimensionality	Curse of dimensionality
support vector regression	Support-vector machine
computation	Computation
approximating	Approximation
anodic current	Partial current
pit	Pit
al	AL
al alloy	Aluminium alloy
pits	Pit
current	Current
survey	Survey
social networking services	Social networking service
mobile applications	Mobile app
apps	App
knowledge management	Knowledge management
km	Kilometre
knowledge management system	Knowledge management software
kms	KMS
extended	Extension
rbac	Role-based access control
level set method	Level-set method
fast marching method	Fast marching method
fast marching	Fast marching method
level set	Level set
numerical methods	Numerical analysis
areas	Area
computer simulations	Computer simulation
brass	Brass
subtraction	Subtraction
optical microscopes	Optical microscope
tems	TEMS
scanning electron microscopes	Scanning electron microscope
microscopy	Microscopy
microscopes	Microscope
data analysis	Data analysis
thermalization	Thermalisation
nuclear reactions	Nuclear reaction
quantum liquids	Quantum spin liquid
lasers	Laser
c60	C60
core	Core
plenum	Plenum
silicon	Silicon
mixing	Mix
air entrainment	Air entrainment
sediment transport	Sediment transport
wave breaking	Breaking wave
em algorithm	Expectation–maximization algorithm
superposition operator	Nemytskii operator
molybdenum	Molybdenum
capsules	Capsule
activation	Activation
capsule	Capsule
detector	Sensor
fluence	Radiant exposure
blooming	Bloom
rusting	Rust
pipelines	Pipeline
heat energy	Heat
exhaust gas	Exhaust gas
binary collision approximation	Binary collision approximation
coulomb logarithm	Coulomb collision
plasmas	Plasma
anomaly detection	Anomaly detection
data mining	Data mining
clusters	Cluster
cluster	Cluster
anomalies	Anomaly
a5	A5
φ	Phi
boundary condition	Boundary value problem
prism	Prism
transformation matrix	Transformation matrix
geometrical optics	Geometrical optics
effectiveness	Effectiveness
robustness	Robustness
object point	Object point
image	Image
glasses	Glasses
microhardness	Indentation hardness
impressed current cathodic protection	Cathodic protection
iccp	ICCP
degradation	Degradation
acidification	Acidification
a	A
water flow	Environmental flow
taylor expansion	Taylor series
compact stars	Compact star
isogeometric analysis	Isogeometric analysis
surface	Surface
polycrystalline diamond	Synthetic diamond
diamond	Diamond
polisher	Polishing
coupons	Coupon
polished	Polished
2-propanol	Isopropyl alcohol
ultrasonic bath	Ultrasonic cleaning
polishing	Polishing
propanol	Propanol
cleaning	Cleaning
lump sum	Lump sum
principal component analysis	Principal component analysis
pca	PCA
recognition	Recognition
dna	DNA
peptide	Peptide
liposome	Liposome
lpd	LPD
dotma	Dotma
dope	Dope
communication	Communication
wto	World Trade Organization
mp3	MP3
ecolinguistics	Ecolinguistics
video-oculography	Video-oculography
vog	Vog
morphology	Morphology
stimulation	Stimulation
electromagnetic field	Electromagnetic field
longitudinal waves	Longitudinal wave
plasma	Plasma
laser	Laser
electric charge	Electric charge
organic materials	Organic matter
optical pumping	Optical pumping
organic structures	Organic (model)
biosensing	Biosensor
chemosensing	Chemoreceptor
light absorption	Absorption (electromagnetic radiation)
charge density	Charge density
kalman filter	Kalman filter
cost function	Cost function
regressions	Regression
software development	Software development
practical skills	Training
software development process	Software development process
software industry	Software industry
parity	Parity
chaotic motion	Chaos theory
polystyrene	Polystyrene
wsn	Wireless sensor network
mobile ad hoc network	Wireless ad hoc network
manet	Édouard Manet
routing protocols	Routing protocol
sensors	Sensor
mwsn	Mobile wireless sensor network
numerical simulation	Computer simulation
thermodynamic equilibrium	Thermodynamic equilibrium
dsmc	DSMC
vibrational transition	Molecular vibration
rotational energy	Rotational energy
tsh	TSH
linear response	Linear response function
lr	LR
manganese	Manganese
mn	MN
ccs	CCS
cc2	Caproni Campini N.1
fission	Fission
diffusion	Diffusion
bubbles	Bubble
grain boundaries	Grain boundary
uranium	Uranium
loop around	Loop around
migration	Migration
xe	Xe
vu	VU
rearrangement	Rearrangement
charge	Charge
potential	Potential
potentials	Potential (disambiguation)
surface area	Surface area
profile	Profile
images	Image
sample	Sample
samples	Sample
r-symmetry	R-symmetry
ionized	Ionization
return	Return
w	W
d	D
c	C
ionization	Ionization
plates	Plate
seismic tomography	Seismic tomography
x-ray absorption spectroscopy	X-ray absorption spectroscopy
x-ray emission spectroscopy	X-ray emission spectroscopy
molecular structure	Molecule
spectral properties	Eigenvalues and eigenvectors
calculations	Calculation
underlying structure	Deep structure and surface structure
liquid water	Water
boundary element method	Boundary element method
bem	BEM
fast multipole method	Fast multipole method
partial pressure	Partial pressure
vapour	Vapor
solid phase	Phase (matter)
gaseous carbon	Greenhouse gas
sic	Sic
aspect-oriented programming	Aspect-oriented programming
aop	AOP
nb	NB
grain refinement	Grain boundary strengthening
fading	Fading
tcr	TCR
porosity	Porosity
knowledge base	Knowledge base
expert system	Expert system
jena	Jena
factorization	Factorization
incident photon	Photon
fragmentation functions	Fragmentation function
subdivision surfaces	Subdivision surface
model building	Model building
subdivision surface	Subdivision surface
spm	SPM
afm	AFM
polymer crystallization	Crystallization of polymers
staining	Staining
metal coating	Coating
sample preparation	Sample preparation
crystal growth	Crystal growth
melting	Melting
crystals	Crystal
semicrystalline polymers	Crystallization of polymers
solar radiation	Solar irradiance
natural convection	Natural convection
linear relationship	Correlation and dependence
the system	The System
service provider	Service provider
simulation	Simulation
global analysis	Global analysis
neutrino	Neutrino
seesaw mechanism	Seesaw mechanism
input devices	Input device
duct	Duct
sampling frequency	Sampling (signal processing)
identification	Identification
pods	Pods
ots	OTS
coatings	Coating
ecd	ECD
through silicon via	Through-silicon via
lsm	LSM
jetset	Jet set
resonances	Resonance
normalization	Normalization
foreign direct investment	Foreign direct investment
fdi	FDI
wavelet analysis	Wavelet
time series analysis	Time series
autocorrelation	Autocorrelation
charm quark	Charm quark
sum rule	Sum rule
quark condensate	Fermionic condensate
ope	Ope
black hole	Black hole
relativistic equation	List of relativistic equations
quantum field theory	Quantum field theory
wave function	Wave function
face detection	Face detection
noise filter	Noise reduction
image scaler	Video scaler
gesture recognition	Gesture recognition
methanol masers	Astrophysical maser
oh	Oh
neutron star	Neutron star
observations	Observation
hydrogen line	Hydrogen line
pomeron	Pomeron
fecl3	Iron(III) chloride
pam	PAM
cod	Cod
stress corrosion cracking	Stress corrosion cracking
alloy 600	Inconel
stainless steels	Stainless steel
pressurized water reactors	Pressurized water reactor
plant	Plant
review	Review
galerkin method	Galerkin method
study	Study
mesh refinement	Adaptive mesh refinement
p	P
pg	PG
fault diagnosis	Diagnosis
rolling bearing	Rolling-element bearing
nanosphere lithography	Nanosphere lithography
icp	ICP
polyimide	Polyimide
poly(vinyl alcohol)	Polyvinyl alcohol
crystallization	Crystallization
lamella	Lamella
low-carbon economy	Low-carbon economy
economic development	Economic development
technological innovation	Technological innovation
iga	Iga
poisson	Poisson
nurbs	Non-uniform rational B-spline
string cosmology	String cosmology
scalar fields	Scalar field
cp violation	CP violation
brane	Brane
babar	Babar
belle 	Belle
nodal	Nodal
weight percent	Mass fraction (chemistry)
foundry	Foundry
chemical analysis	Analytical chemistry
spectrophotometer	Spectrophotometry
cyanocobalamin	Cyanocobalamin
ethyl acetate	Ethyl acetate
centrifugation	Centrifugation
decanting	Decantation
supernatant	Precipitation (chemistry)
residue	Residue
acetone	Acetone
precipitate	Precipitation (chemistry)
butanol	Butanol
ammonia	Ammonia
lyophilisation	Freeze-drying
thresholding	Threshold
pattern recognition	Pattern recognition
computer vision	Computer vision
tracking	Tracking
recognizing	Recall (memory)
segmenting	Market segmentation
modal distribution	Transverse mode
histogram	Histogram
fermions	Fermion
isospin	Isospin
nucleons	Nucleon
total angular momentum	Total angular momentum quantum number
nucleon	Nucleon
mean field approximation	Mean-field theory
measurement	Measurement
strong magnetic field	Magnetic field
eos	Eos
mixtures	Mixture
artificial neural networks	Artificial neural network
weights	Weight (disambiguation)
multi-layer perceptron	Multilayer perceptron
convergence	Convergence
mlp	MLP
ann	Ann
stockpiling	Stockpile
ph	PH
fuel cladding	Nuclear fuel
atf	ATF
oxidise	Redox
exothermic reaction	Exothermic reaction
oxide dispersion strengthened	Oxide dispersion-strengthened alloy
ods	ODS
nanostructured	Nanostructure
balance	Balance
steels	Steel
solid solution	Solid solution
radiation	Radiation
mechanical alloying	Mechanical alloying
consolidation	Consolidation
precipitates	Precipitation (chemistry)
swelling	Swelling
models	Model
probabilistic methods	Probabilistic method
spark plasma sintering	Spark plasma sintering
sps	SPS
hip	Hip
powder	Powder
mould	Mold (disambiguation)
heating element	Heating element
photons	Photon
irradiance	Irradiance
ducts	Duct
aeroengine	Aircraft engine
sound propagation	Sound
finite-element methods	Finite element method
mean flow	Mean flow
light microscopy	Microscopy
scanning electron microscopy	Scanning electron microscope
lm	LM
sem	SEM
fracture strain	Fracture
strain	Strain
shear stress	Shear stress
buckling	Buckling
ros	Ros
single strand break	DNA repair
strand	Strand
dbs	DBS
aa	AA
photo	Photograph
ultrasound	Ultrasound
shockwave	Shock wave
cavitations	Cavitation (bone)
investigation	Investigation
theoretical framework	Theory
retrieve	Retrieval
data	Data
heterogeneity	Homogeneity and heterogeneity
ambient temperature	Room temperature
tube	Tube
na	Na
immersed boundary method	Immersed boundary method
ibm	IBM
structure	Structure
newtonian fluid	Newtonian fluid
motion	Motion
periods	Period
frequencies	Frequency
heart rate variability	Heart rate variability
subsystems	System
cardiovascular system	Circulatory system
wavelet transform	Wavelet transform
phase synchronization	Phase synchronization
statistical methods	Statistics
yield	Yield
production plan	Production planning
coordination problem	Coordination game
finite difference method	Finite difference method
design tool	Design tool
culture change	Culture change
transport system	Transport network analysis
jetting	Jetting
rolling ball	Rolling ball argument
tests	Test
tack	Tack
psa	PSA
adhesive	Adhesive
substrate	Substrate
power generation	Electricity generation
power plant	Power station
temperature cycling	Temperature cycling
p91	List of National Roads in Latvia
the material	The Material
extended technicolor	Technicolor (physics)
etc	ETC
block	Block
extreme value analysis	Extreme value theory
eva	Eva
generalized extreme value distribution	Generalized extreme value distribution
scattering	Scattering
gelation	Gelation
general relativity	General relativity
lunar laser ranging	Lunar Laser Ranging experiment
interpretation	Interpretation
decision problem	Decision problem
saa	SAA
jensen's inequality	Jensen's inequality
pms	Premenstrual syndrome
technical support	Technical support
galloping	Canter and gallop
powder metallurgy	Powder metallurgy
hardmetal	Hard metal
green body	Green body
heating	Central heating
surface traction	Traction (engineering)
polyurea	Polyurea
absorb	Absorption
mitigate	Mitigation
reflect	Reflection
layer	Layer
weathering	Weathering
chemicals	Chemical substance
penetration	Penetration
cures	Cure
holes	Hole
base	Base
elliptic flow	Elliptic flow
spectra	Spectra
hadronization	Hadronization
qgp	Quark–gluon plasma
physical model	Physical model
shear viscosity	Viscosity
heat conduction	Thermal conduction
prisms	Prism
tetrahedra	Tetrahedron
polynomial space	PSPACE
regression analysis	Regression analysis
scholarly journals	Academic journal
vad	Vad
speech segments	Segment (linguistics)
dressings	Dressing
parity symmetry	Parity (physics)
solitons	Soliton
deep water	Deep Water
wave	Wave
fluid flow	Fluid dynamics
computer aided design	Computer-aided design
cad	Computer-aided design
finite element methods	Finite element method
adaptive algorithm	Adaptive algorithm
expectation-maximization algorithm	Expectation–maximization algorithm
parameter estimation	Estimation theory
particle filters	Particle filter
cox	Cox
px	PX
particle filter	Particle filter
soft sensor	Soft sensor
pas	PAS
biomimetic materials	Biomimetic material
electrospinning	Electrospinning
finite element analysis	Finite element method
cracks	Crack
plutonium dioxide	Plutonium(IV) oxide
cooling	Cooling
solidification	Freezing
freezing	Freezing
pollen tubes	Pollen tube
pollen tube	Pollen tube
signaling molecules	Cell signaling
chemical products	Product (chemistry)
plant reproduction	Plant reproduction
sandstones	Sandstone
permeability	Permeability
sdr	SDR
nmr	Nuclear magnetic resonance
calibrate	Calibration
csm	CSM
sandstone	Sandstone
3d model	3D modeling
abaqus	Abaqus
particle method	Particle method
direct simulation monte carlo	Direct simulation Monte Carlo
gas flow	Fluid dynamics
analytical method	Analytical technique
circuits	Circuit
polyethylene naphthalate	Polyethylene naphthalate
pen	Pen
substrates	Substrate
drum	Drum
cross-linked	Cross-link
exposure	Exposure
films	Film
insulator	Insulator
evaporator	Evaporator
shadow mask	Shadow mask
digraph	Digraph
learning process	Learning
motion tracking	Motion tracking
head-mounted display	Head-mounted display
splitting	Splitting
sweeping	Sweep
microwave background	Cosmic microwave background
irb	IRB
mbr	MBR
proton	Proton
protons	Proton
etching	Etching
spin coating	Spin coating
monochlorobenzene	Chlorobenzene
soc	SOC
baking	Baking
solvent	Solvent
chloroform	Chloroform
anisole	Anisole
relational databases	Relational database
web applications	Web application
quality	Quality
project managers	Project manager
objectives	Objective
cost	Cost
sensitivity analysis	Sensitivity analysis
collocation method	Collocation method
galerkin	Galerkin
cg	CG
fr	FR
linear operators	Linear map
minkowski space	Minkowski space
false vacuum	False vacuum decay
mil	Mil
processing	Process
composite	Composite
interrupted	Interrupt
educational administration	Academic administration
animals	Animal
infected	Infection (disambiguation)
displacement cascade	Collision cascade
defects	Defect
voids	Void
continuous stirred-tank reactor	Continuous stirred-tank reactor
optimal control	Optimal control
magnetic monopole	Magnetic monopole
gravitational field	Gravitational field
non-abelian gauge theories	Gauge theory
electromagnetism	Electromagnetism
magnetic monopoles	Magnetic monopole
graviton	Graviton
expectation value	Expectation value (quantum mechanics)
renormalisability	Renormalization
charm	Charm
antiquark	Quark
knowledge	Knowledge
teaching	Education
learning	Learning
curriculum design	Curriculum development
education policy	Education policy
vo	Vo
oi	Oi
encapsulation	Encapsulation
asr	Asr prayer
solutions	Solution
singularity	Singularity
nanodevices	Nanotechnology
abcs	Alphabet
macromonomers	Macromonomer
dissociation	Dissociation
ligand	Ligand
romp	Romp
coordination	Coordination
halogen	Halogen
monomers	Monomer
decomposition	Decomposition
deactivation	Deactivation
smart antennas	Smart antenna
least mean squares	Least mean squares filter
lms	LMS
sample matrix inversion	Sample matrix inversion
recursive least squares	Recursive least squares filter
conjugate gradient method	Conjugate gradient method
cgm	CGM
rate of convergence	Rate of convergence
beamforming	Beamforming
beamwidth	Beamwidth
alkyl groups	Alkyl
alkylamine	Alkylamines
thermal spray	Thermal spraying
modelling	Model
experimental studies	Experiment
md	MD
deformation	Deformation
reynolds number	Reynolds number
shock heating	Shock wave
carbon atoms	Carbon
graphene nanoribbons	Graphene nanoribbon
fullerene	Fullerene
robotic automation	Robotic process automation
ramsi	Ramsi
heat-treated	Heat treating
fe3+	Iron(III)
ni	Ni
iron oxide	Iron oxide
obstacle detection	Obstacle avoidance
fuzzy neural network	Neuro-fuzzy
elements	Element
obstacle	Obstacle
scene	Scene
classification	Classification
gdc	GDC
polarization	Polarization
current collector	Current collector
jerks	Jerks
geomagnetic secular variation	Geomagnetic secular variation
sv	SV
secular variation	Secular variation
mf	MF
sa	SA
jerk	Jerk
fragmentation function	Fragmentation function
nuclei	Nucleus
antiproton	Antiproton
p̄	Macron (diacritic)
reflection problem	Social multiplier effect
quadratic equation	Quadratic equation
solar neutrino	Solar neutrino
dimensionality reduction	Dimensionality reduction
gel	Gel
equation of motion	Equations of motion
constitutive equation	Constitutive equation
vector meson	Vector meson
ϕ	Phi
b0	B0
meson	Meson
decay	Decay
investment casting	Investment casting
casting process	Casting
dissolved oxygen	Oxygen saturation
pav	Pav
virtual methods	Virtual function
inverse	Inverse
deterministic 	Determinism
stochastic 	Stochastic
heart rate variability 	Heart rate variability
autonomous systems	Autonomous robot
living systems	Living systems
fabrication process	Semiconductor device fabrication
roll	Roll
surfaces	Surface
rolling	Rolling
proteins	Protein
hydrogels	Gel
reference material	Certified reference materials
platinum	Platinum
data processing	Data processing
compound	Compound
sn	SN
zn	ZN
ag	AG
heat flow	Heat transfer
