term,annotation,df
Pinky Lee,person,ai_dev
Ulf Grenander,researcher,ai_dev
maximum likelihood estimation,metrics,ai_dev
iPhone 4S,product,ai_dev
iPad 3,product,ai_dev
iPad Mini 1G,product,ai_dev
iPad Air,product,ai_dev
iPad Pro 1G,product,ai_dev
iPod Touch 5G,product,ai_dev
Siri,product,ai_dev
logistic loss,metrics,ai_dev
binary cross entropy loss,metrics,ai_dev
cross entropy loss,metrics,ai_dev
Kullback-Leibler divergence,metrics,ai_dev
EM algorithm,algorithm,ai_dev
maximum likelihood,metrics,ai_dev
speech synthesis,task,ai_dev
reading machines for the blind,task,ai_dev
speech perception,task,ai_dev
motor theory of speech perception,task,ai_dev
Arduino,product,ai_dev
integrated development environment,ai,ai_dev
IDE,ai,ai_dev
cross-platform application,ai,ai_dev
Windows,product,ai_dev
macOS,product,ai_dev
Linux,product,ai_dev
Java,programlang,ai_dev
Neural network,algorithm,ai_dev
Marvin Minsky,researcher,ai_dev
Seymour Papert,researcher,ai_dev
Adept Technology,organisation,ai_dev
Stäubli,organisation,ai_dev
Sweden,country,ai_dev
Switzerland,country,ai_dev
ABB Asea Brown Boveri,organisation,ai_dev
Germany,country,ai_dev
KUKA Robotics,organisation,ai_dev
Italy,country,ai_dev
Comau,organisation,ai_dev
RuleML Symposium,conference,ai_dev
RuleML,conference,ai_dev
mathematics,field,ai_dev
computer science,field,ai_dev
databases,field,ai_dev
artificial intelligence,field,ai_dev
American Psychological Association,organisation,ai_dev
National Academy of Sciences,organisation,ai_dev
Royal,organisation,ai_dev
Cognitive Neuroscience Society,organisation,ai_dev
American Humanist Association,organisation,ai_dev
Harrison Ford,person,ai_dev
Rutger Hauer,person,ai_dev
Sean Young,person,ai_dev
Philip K. Dick,person,ai_dev
Do Androids Dream of Electric Sheep ?,ai,ai_dev
Image segmentation,task,ai_dev
k-means clustering algorithms,algorithm,ai_dev
pattern recognition,field,ai_dev
object detection,task,ai_dev
medical imaging,field,ai_dev
CDF,algorithm,ai_dev
probit function,algorithm,ai_dev
universities of Newcastle,university,ai_dev
Surrey,university,ai_dev
Tel Aviv University,university,ai_dev
Simon Fraser University,university,ai_dev
University of Tromsø,university,ai_dev
Cross entropy,metrics,ai_dev
cross-entropy,metrics,ai_dev
multinomial logistic regression,algorithm,ai_dev
ACL,conference,ai_dev
European,ai,ai_dev
European Chapter of the Association for Computational Linguistics,conference,ai_dev
Hal Abelson,researcher,ai_dev
Gerald Jay Sussman,researcher,ai_dev
Project MAC,ai,ai_dev
Ghahramani,researcher,ai_dev
University of Toronto,university,ai_dev
ITRC,organisation,ai_dev
Artificial Intelligence Lab,organisation,ai_dev
Geoffrey Hinton,researcher,ai_dev
Maximum Likelihood,metrics,ai_dev
MLE,metrics,ai_dev
David Fincher,person,ai_dev
Kevin Spacey,person,ai_dev
protein docking,algorithm,ai_dev
free energy calculation,algorithm,ai_dev
U.S.,country,ai_dev
Canada,country,ai_dev
Mexico,country,ai_dev
Brazil,country,ai_dev
Argentina,country,ai_dev
computer vision,field,ai_dev
Facial recognition system,product,ai_dev
k -NN,algorithm,ai_dev
feature extraction,task,ai_dev
dimension reduction,task,ai_dev
OpenCV,product,ai_dev
constraint logic programming,algorithm,ai_dev
multithreading,ai,ai_dev
unit testing,ai,ai_dev
GUI,ai,ai_dev
ODBC,product,ai_dev
literate programming,algorithm,ai_dev
web server,ai,ai_dev
SGML,ai,ai_dev
RDF,ai,ai_dev
RDFS,ai,ai_dev
GUI debugger,ai,ai_dev
GUI profiler,ai,ai_dev
image processing,field,ai_dev
scale space representation,ai,ai_dev
Gaussian derivative operators,ai,ai_dev
canonical multi-scale representation,ai,ai_dev
Neural Information Processing Systems Foundation,organisation,ai_dev
Conference on Neural Information Processing Systems Conference,conference,ai_dev
squared error,metrics,ai_dev
loss function,ai,ai_dev
cross entropy,metrics,ai_dev
Lafferty,researcher,ai_dev
Neural Information Processing Systems,conference,ai_dev
Conference on Neural Information Processing Systems,conference,ai_dev
CMU,university,ai_dev
Machine Learning,field,ai_dev
Journal of Machine Learning Research,conference,ai_dev
Convex algorithms,ai,ai_dev
AdaBoost,algorithm,ai_dev
LogitBoost,algorithm,ai_dev
Apertium,product,ai_dev
shallow-transfer machine translation system,product,ai_dev
finite state transducer,algorithm,ai_dev
hidden Markov model,algorithm,ai_dev
part-of-speech tagging,task,ai_dev
word category disambiguation,task,ai_dev
natural gradient,ai,ai_dev
Fisher information metric,metrics,ai_dev
relative entropy,metrics,ai_dev
S programming language,programlang,ai_dev
' S ' -PLUS,product,ai_dev
Planner,product,ai_dev
Micro-Planner,product,ai_dev
Eugene Charniak,researcher,ai_dev
Terry Winograd,researcher,ai_dev
Denmark,country,ai_dev
Christian Gottlieb Kratzenstein,researcher,ai_dev
Russian,ai,ai_dev
Imperial Academy of Sciences and Arts,university,ai_dev
vocal tract,ai,ai_dev
vowel sounds,ai,ai_dev
International Phonetic Alphabet,ai,ai_dev
Office XP,product,ai_dev
smart tags,ai,ai_dev
selection-based search feature,ai,ai_dev
task pane interface,ai,ai_dev
document collaboration,task,ai_dev
MSN Groups,product,ai_dev
SharePoint,product,ai_dev
handwriting recognition,task,ai_dev
sigmoid function,algorithm,ai_dev
activation function,ai,ai_dev
Mehler,researcher,ai_dev
American Academy of Arts and Sciences,organisation,ai_dev
American Association for the Advancement of Science,organisation,ai_dev
non-binary classifications,task,ai_dev
confusion matrix,metrics,ai_dev
maximum likelihood,algorithm,ai_dev
perceptron,algorithm,ai_dev
binary classification,task,ai_dev
vision,field,ai_dev
International Conference on Learning Representations,conference,ai_dev
Conference on Computer Vision and Pattern Recognition,conference,ai_dev
International Conference on Computer Vision,conference,ai_dev
European Conference on Computer Vision,conference,ai_dev
condensation algorithm,algorithm,ai_dev
facial recognition system,product,ai_dev
Information Dissemination,task,ai_dev
ELRA,conference,ai_dev
LREC,conference,ai_dev
Language Resources and Evaluation Journal,conference,ai_dev
Springer,conference,ai_dev
linear time-invariant ( LTI ) system theory,field,ai_dev
control theory,field,ai_dev
digital signal processing,field,ai_dev
signal processing,field,ai_dev
LTI system,field,ai_dev
convolution,algorithm,ai_dev
game theory,field,ai_dev
operations research,field,ai_dev
information theory,field,ai_dev
simulation-based optimization,field,ai_dev
multi-agent systems,product,ai_dev
swarm intelligence,field,ai_dev
statistics,field,ai_dev
genetic algorithm,algorithm,ai_dev
Stochastic gradient descent,algorithm,ai_dev
support vector machine,algorithm,ai_dev
Vowpal Wabbit,algorithm,ai_dev
graphical model,algorithm,ai_dev
s.Jenny Rose Finkel,researcher,ai_dev
Alex Kleeman,researcher,ai_dev
Christopher D. Manning,researcher,ai_dev
Hitachi,organisation,ai_dev
electron microscope,product,ai_dev
Indonesia,country,ai_dev
University of North Sumatra,university,ai_dev
Medan,location,ai_dev
Indonesian Christian University,university,ai_dev
Jakarta,location,ai_dev
Padjadjaran University,university,ai_dev
Bandung,location,ai_dev
Jenderal Soedirman University,university,ai_dev
Purwokerto,location,ai_dev
Muhammadiyah University,university,ai_dev
Malang,location,ai_dev
Optimization,field,ai_dev
linear programming,algorithm,ai_dev
dynamic programming,algorithm,ai_dev
software engineering,field,ai_dev
computational complexity,metrics,ai_dev
Sensitivity,metrics,ai_dev
positive predictive value,metrics,ai_dev
TRUE positives,metrics,ai_dev
TRUE and FALSE positives,metrics,ai_dev
Hampton Fancher,person,ai_dev
Android,product,ai_dev
Sammon,person,ai_dev
Michael Deeley,person,ai_dev
Fancher,person,ai_dev
Ridley Scott,person,ai_dev
Text analysis,field,ai_dev
lexical analysis,task,ai_dev
word frequency distributions,ai,ai_dev
tagging / annotation,task,ai_dev
information extraction,task,ai_dev
data mining,field,ai_dev
link and association analysis,task,ai_dev
visualization,task,ai_dev
predictive analytics,task,ai_dev
English,ai,ai_dev
computational linguistics,field,ai_dev
knowledge representation for finding answers,task,ai_dev
uncertainty coefficient,metrics,ai_dev
optical flow,algorithm,ai_dev
Kalman filtering,algorithm,ai_dev
Hidden Markov model,algorithm,ai_dev
Association for Computational Linguistics,conference,ai_dev
Computing Research Association,organisation,ai_dev
APL,programlang,ai_dev
matrix arithmetic,ai,ai_dev
Turing test,ai,ai_dev
Royal Society,organisation,ai_dev
Kevin Warwick,researcher,ai_dev
University of Reading,university,ai_dev
60th anniversary of Turing 's death,ai,ai_dev
Goostman,researcher,ai_dev
collaborative robot,product,ai_dev
cobot,product,ai_dev
feature detection,task,ai_dev
feature classification,task,ai_dev
image segmentation,task,ai_dev
image matching,task,ai_dev
motion estimation,task,ai_dev
computation of shape cues,task,ai_dev
object recognition,task,ai_dev
parameter estimation,task,ai_dev
naive Bayes models,algorithm,ai_dev
naive Bayes,algorithm,ai_dev
Bayesian probability,algorithm,ai_dev
Bayesian methods,algorithm,ai_dev
Victor Gershevich Katz,researcher,ai_dev
American,ai,ai_dev
Massachusetts Institute of Technology,university,ai_dev
Mikhail Gershevich Katz,researcher,ai_dev
Israeli,ai,ai_dev
Harvard,university,ai_dev
Columbia,university,ai_dev
Ph.D.,ai,ai_dev
Bar-Ilan University,university,ai_dev
Systolic Geometry and Topology,ai,ai_dev
Mathematical Surveys and Monographs,ai,ai_dev
Manuel Toharia,person,ai_dev
Campus Parties,conference,ai_dev
Príncipe Felipe 's Museum of Sciences,organisation,ai_dev
Valencia 's City of arts and Sciences,location,ai_dev
Ragageles,person,ai_dev
unsupervised learning,field,ai_dev
Python,programlang,ai_dev
deep learning,field,ai_dev
Long short-term memory,algorithm,ai_dev
LSTM,algorithm,ai_dev
recurrent neural network,algorithm,ai_dev
Sepp Hochreiter,researcher,ai_dev
Jürgen Schmidhuber,researcher,ai_dev
BrownBoost,algorithm,ai_dev
Evolutionary programming,algorithm,ai_dev
Lawrence J. Fogel,researcher,ai_dev
US,country,ai_dev
Doug,researcher,ai_dev
Alan,researcher,ai_dev
Allen Newell,researcher,ai_dev
Edward Feigenbaum,researcher,ai_dev
John McCarthy,researcher,ai_dev
Mean Squared Error,metrics,ai_dev
MSECriterion,metrics,ai_dev
cross-entropy criterion,metrics,ai_dev
NLLCriterion,metrics,ai_dev
Zurada,researcher,ai_dev
2014 IEEE Vice-President-Technical Activities,ai,ai_dev
IEEE Computational Intelligence Society,conference,ai_dev
ADCOM,conference,ai_dev
dynamic Markov Networks,algorithm,ai_dev
Convolutional neural network,algorithm,ai_dev
Unimate,product,ai_dev
industrial robot,product,ai_dev
Yann LeCun,researcher,ai_dev
Bengio,researcher,ai_dev
2018 Turing Award,ai,ai_dev
UK,country,ai_dev
Robot Wars Extreme Warriors,ai,ai_dev
United States,country,ai_dev
TNN network,organisation,ai_dev
Mick Foley,person,ai_dev
Rebecca Grant,person,ai_dev
Dutch Robot Wars,ai,ai_dev
Netherlands,country,ai_dev
Miller,researcher,ai_dev
search engines,product,ai_dev
deep feedforward neural networks,algorithm,ai_dev
Swiss AI Lab IDSIA,organisation,ai_dev
international handwriting competitions,ai,ai_dev
C + +,programlang,ai_dev
Tokugawa Shogunate,country,ai_dev
Dutch,ai,ai_dev
Nagasaki Yotetsusho,ai,ai_dev
Dejima,ai,ai_dev
Nagasaki,ai,ai_dev
mean squared error,metrics,ai_dev
Wydner,researcher,ai_dev
American Translators Association,organisation,ai_dev
Weidner Machine Translation System,product,ai_dev
machine translation,task,ai_dev
2018 Conference on Neural Information Processing Systems,conference,ai_dev
NeurIPS,conference,ai_dev
Baum-Welch algorithm,algorithm,ai_dev
maximum likelihood estimate,metrics,ai_dev
OpenCyc,product,ai_dev
ResearchCyc,product,ai_dev
knowledge base,ai,ai_dev
"large lexicon , English parsing and generation tools",product,ai_dev
interfaces for knowledge editing and querying,product,ai_dev
Hough transform,algorithm,ai_dev
image analysis,field,ai_dev
digital image processing,field,ai_dev
PUMA,product,ai_dev
Programmable Universal Machine for Assembly,product,ai_dev
Unimation,organisation,ai_dev
Vicarm,organisation,ai_dev
Victor Scheinman,researcher,ai_dev
General Motors,organisation,ai_dev
contingency table,metrics,ai_dev
LREC conference,conference,ai_dev
assembly,programlang,ai_dev
SCARA robot,product,ai_dev
Special Interest Group on Web as Corpus,conference,ai_dev
SIGWAC,conference,ai_dev
SENSEVAL,conference,ai_dev
LinguaStream,product,ai_dev
Java API,product,ai_dev
Blocks programming interface,ai,ai_dev
Android programming systems,product,ai_dev
depth-first search,algorithm,ai_dev
breadth-first search,algorithm,ai_dev
object video tracking,task,ai_dev
semantic network,algorithm,ai_dev
Speech recognition,task,ai_dev
recognition and translation of spoken language,task,ai_dev
Artificial intelligence,field,ai_dev
applied ontology,ai,ai_dev
natural language processing,field,ai_dev
machine,task,ai_dev
knowledge representation,task,ai_dev
AI,field,ai_dev
stochastic gradient descent,algorithm,ai_dev
linear regression,algorithm,ai_dev
Honda,organisation,ai_dev
Gary Hamel,person,ai_dev
C. K. Prahalad,person,ai_dev
BLEU,metrics,ai_dev
n-gram precision,metrics,ai_dev
NIST,metrics,ai_dev
n-gram,ai,ai_dev
2019 Lifetime Achievement Award,ai,ai_dev
Sycara,researcher,ai_dev
Institute of Electrical and Electronics Engineers,organisation,ai_dev
American Association for Artificial Intelligence,conference,ai_dev
AAAI,conference,ai_dev
non-linear system,ai,ai_dev
Pattern recognition systems,product,ai_dev
Reinforcement learning,field,ai_dev
cloud computing,field,ai_dev
predictive analytics,field,ai_dev
George Cybenko,researcher,ai_dev
Cybenko G.,researcher,ai_dev
cross-validation,algorithm,ai_dev
MSE,metrics,ai_dev
mean squared prediction error,metrics,ai_dev
OMR,task,ai_dev
optical character recognition,task,ai_dev
OCR,task,ai_dev
Houston,location,ai_dev
Detroit,location,ai_dev
Michigan,location,ai_dev
TCF Center,location,ai_dev
Ford Field,location,ai_dev
Classification,task,ai_dev
multiclass classification,task,ai_dev
parallel robots,product,ai_dev
Stewart platform,product,ai_dev
Delta robot,product,ai_dev
ReLU activation function,algorithm,ai_dev
AlexNet,algorithm,ai_dev
F-score,metrics,ai_dev
search,task,ai_dev
document classification,task,ai_dev
query classification,task,ai_dev
F_beta,metrics,ai_dev
ML,algorithm,ai_dev
majority voting,algorithm,ai_dev
MV,algorithm,ai_dev
maximum a posteriori,algorithm,ai_dev
MAP,algorithm,ai_dev
Sowa,researcher,ai_dev
BS,ai,ai_dev
MA,ai,ai_dev
applied,field,ai_dev
Harvard University,university,ai_dev
Vrije Universiteit Brussel,university,ai_dev
"Knowledge Representation : Logical , Philosophical , and Computational Foundations",ai,ai_dev
paraphrase recognition,task,ai_dev
f1 score,metrics,ai_dev
ROC curve,metrics,ai_dev
bootstrapping,algorithm,ai_dev
maximum parsimony,algorithm,ai_dev
DAML,programlang,ai_dev
OIL,programlang,ai_dev
World Wide Web Consortium,organisation,ai_dev
W3C,organisation,ai_dev
European Union / United States ad hoc Joint Committee on Markup Languages,organisation,ai_dev
non-linear normalization,ai,ai_dev
normalization,ai,ai_dev
root mean squared error,metrics,ai_dev
Netflix Prize,ai,ai_dev
University College Hospital,organisation,ai_dev
Posner,researcher,ai_dev
Association for Psychological Science,organisation,ai_dev
Society of Experimental Psychologists,organisation,ai_dev
Chatbots,product,ai_dev
image moderation,task,ai_dev
natural language understanding,task,ai_dev
NLU,task,ai_dev
natural language generation,task,ai_dev
NLG,task,ai_dev
Positive Predictive Value,metrics,ai_dev
PPV,metrics,ai_dev
TP / ( TP + FP ),metrics,ai_dev
FALSE Discovery Rate,metrics,ai_dev
FDR,metrics,ai_dev
FP / ( TP + FP ),metrics,ai_dev
Negative Predictive Value,metrics,ai_dev
NPV,metrics,ai_dev
TN / ( TN + FN ),metrics,ai_dev
FALSE Omission Rate,metrics,ai_dev
FOR,metrics,ai_dev
FN / ( TN + FN ),metrics,ai_dev
RSS,ai,ai_dev
Information Model,algorithm,ai_dev
IM,algorithm,ai_dev
Biomedical Resource Ontology,algorithm,ai_dev
BRO,algorithm,ai_dev
text recognition,task,ai_dev
Recurrent neural network,algorithm,ai_dev
language model,algorithm,ai_dev
loss functions,ai,ai_dev
hinge loss,metrics,ai_dev
linear SVMs,algorithm,ai_dev
log loss,metrics,ai_dev
SSIM,metrics,ai_dev
peak signal-to-noise ratio,metrics,ai_dev
PSNR,metrics,ai_dev
Rodney Brooks,researcher,ai_dev
Mark Tilden,researcher,ai_dev
backpropagation,algorithm,ai_dev
gradient descent,algorithm,ai_dev
Duke,university,ai_dev
PROVERB,product,ai_dev
Outstanding Paper Award,ai,ai_dev
American Crossword Puzzle Tournament,ai,ai_dev
Rochester Hills,location,ai_dev
the U.S.,country,ai_dev
Odetics Odex 1,product,ai_dev
David,researcher,ai_dev
Judah Levine,researcher,ai_dev
I. I. Rabi Award,ai,ai_dev
Apple iOS operating system,product,ai_dev
iPhone,product,ai_dev
iPad,product,ai_dev
iPod Touch,product,ai_dev
VoiceOver speech synthesis,product,ai_dev
MUC-7,conference,ai_dev
F-measure,metrics,ai_dev
Rotten Tomatoes,organisation,ai_dev
Alexa,product,ai_dev
Sigmoid function,algorithm,ai_dev
SSD,metrics,ai_dev
Decision tree learning,algorithm,ai_dev
neural networks,algorithm,ai_dev
naive Bayes classifier,algorithm,ai_dev
balanced accuracy,metrics,ai_dev
1992 Association for Computing Machinery,conference,ai_dev
Software Systems Award,ai,ai_dev
Interlisp programming system,product,ai_dev
Association for Computing Machinery,conference,ai_dev
Cade Metz,researcher,ai_dev
logistic function,algorithm,ai_dev
Čapek,person,ai_dev
Hronov,location,ai_dev
Bohemia,location,ai_dev
Austria-Hungary,country,ai_dev
Czechoslovakia,country,ai_dev
Czech Republic,country,ai_dev
RSS,product,ai_dev
visual navigation,task,ai_dev
knowledge model,task,ai_dev
inference engine,task,ai_dev
extraction,task,ai_dev
support for modules,task,ai_dev
ontology matching,task,ai_dev
meta-ontologies,task,ai_dev
OWL-S,product,ai_dev
Dublin Core,product,ai_dev
FBI,organisation,ai_dev
Next Generation Identification program,ai,ai_dev
face recognition,task,ai_dev
biometrics,field,ai_dev
fingerprints,ai,ai_dev
iris scans,ai,ai_dev
Samantha Ponder,person,ai_dev
Molly McGrath,person,ai_dev
adversarial search algorithm,algorithm,ai_dev
Tic-tac-toe,ai,ai_dev
Chess,ai,ai_dev
machine vision,field,ai_dev
digital geometry,field,ai_dev
Apple Inc,organisation,ai_dev
Face ID,product,ai_dev
iPhone X,product,ai_dev
Touch ID,product,ai_dev
R-square,metrics,ai_dev
cost / gain matrix,metrics,ai_dev
correlation coefficient,metrics,ai_dev
Spanish edition of Campus Party,conference,ai_dev
Colegio Miguel Hernández,location,ai_dev
Ceulaj,location,ai_dev
Municipal Sport Arena of Benalmádena,location,ai_dev
Málaga,location,ai_dev
Spain,country,ai_dev
Valencia County Fair,location,ai_dev
City of Arts and Sciences,location,ai_dev
Valencia,location,ai_dev
gnuplot,product,ai_dev
Perl,programlang,ai_dev
PDL,product,ai_dev
CPAN,product,ai_dev
spoken dialog systems,product,ai_dev
SIGdial,conference,ai_dev
Interspeech,conference,ai_dev
SpeechTek,conference,ai_dev
AVIOS,conference,ai_dev
iOS operating system,product,ai_dev
exotic fitness functions,algorithm,ai_dev
Semantic Web,product,ai_dev
Tim Berners-Lee,researcher,ai_dev
World Wide Web,product,ai_dev
Semantic Web standards,product,ai_dev
computer-aided translation,product,ai_dev
machine-aided human translation,product,ai_dev
MAHT,product,ai_dev
interactive translation,product,ai_dev
interlingual MT systems,product,ai_dev
Stanford,university,ai_dev
Roger Schank,researcher,ai_dev
Yorick Wilks,researcher,ai_dev
The Computer Museum,location,ai_dev
Boston,location,ai_dev
interlingual machine translation system,product,ai_dev
Second International Semantic Web Conference,conference,ai_dev
ISWC 2003,conference,ai_dev
Second International Conference on Autonomous Agents,conference,ai_dev
Agents 98,conference,ai_dev
Steering Committee of the Agents Conference,organisation,ai_dev
Lifetime Achievement Award,ai,ai_dev
Y. Bengio,researcher,ai_dev
P. Frasconi,researcher,ai_dev
A.L.I.C.E.,product,ai_dev
markup language,ai,ai_dev
AIML,programlang,ai_dev
dialogue system,product,ai_dev
Alicebot,product,ai_dev
Learning classifier systems,ai,ai_dev
LCS,ai,ai_dev
rule-based machine learning algorithms,ai,ai_dev
reinforcement learning,field,ai_dev
regularization,ai,ai_dev
squared regularizing function,algorithm,ai_dev
zero-mean Gaussian prior distribution,ai,ai_dev
George Miller,researcher,ai_dev
Wordnet,product,ai_dev
ImageNet Large Scale Visual Recognition Challenge,conference,ai_dev
object classification and detection,task,ai_dev
science fiction,ai,ai_dev
Westworld,ai,ai_dev
Paul J. McAuley,person,ai_dev
Fairyland,ai,ai_dev
Lester del Rey,person,ai_dev
Helen O 'Loy,ai,ai_dev
question answering,task,ai_dev
Harry Blum,researcher,ai_dev
Air Force Cambridge Research Laboratories,organisation,ai_dev
Hanscom Air Force Base,location,ai_dev
Bedford,location,ai_dev
Massachusetts,location,ai_dev
Getoor,researcher,ai_dev
NSF Career Award,ai,ai_dev
ACM Fellow,ai,ai_dev
Association for Computational Linguistics Fellow,ai,ai_dev
AAAI Fellow,ai,ai_dev
International Speech Communication Association Fellow,ai,ai_dev
Honorary Doctorate,ai,ai_dev
KTH Royal Institute of Technology,university,ai_dev
Columbia Engineering School Alumni Association Distinguished Faculty Teaching award,ai,ai_dev
IEEE James L. Flanagan Speech and Audio Processing Award,ai,ai_dev
ISCA Medal for Scientific Achievement,ai,ai_dev
named recognition translation,task,ai_dev
Bilingual evaluation understudy,metrics,ai_dev
named entity translation,task,ai_dev
Medtronic,organisation,ai_dev
Johns Hopkins Hospital,organisation,ai_dev
Washington University School of Medicine,university,ai_dev
Paramount,organisation,ai_dev
Sangaree,ai,ai_dev
Fernando Lamas,person,ai_dev
Arlene Dahl,person,ai_dev
KRL,programlang,ai_dev
Daniel G. Bobrow,researcher,ai_dev
Xerox PARC,organisation,ai_dev
IEEE Conference on Computer Vision and Pattern Recognition,conference,ai_dev
Qiang Zhu,researcher,ai_dev
Shai Avidan,researcher,ai_dev
Mei-Chen Yeh,researcher,ai_dev
Kwang-Ting Cheng,researcher,ai_dev
human detection,task,ai_dev
HOG descriptor methods,algorithm,ai_dev
Hayes,researcher,ai_dev
Cognitive Science Society,organisation,ai_dev
Time series,ai,ai_dev
econometrics,field,ai_dev
mathematical finance,field,ai_dev
weather forecasting,field,ai_dev
earthquake prediction,field,ai_dev
electroencephalography,field,ai_dev
control engineering,field,ai_dev
astronomy,field,ai_dev
communications engineering,field,ai_dev
applied science,field,ai_dev
NP-complete,ai,ai_dev
pedestrian detection,task,ai_dev
BMVC,conference,ai_dev
Terzopoulos,researcher,ai_dev
inaugural IEEE PAMI Computer Vision Distinguished Researcher Award,ai,ai_dev
Cluster analysis,task,ai_dev
cluster analysis,task,ai_dev
text mining,field,ai_dev
Data mining,field,ai_dev
Knowledge Discovery,task,ai_dev
Databases,ai,ai_dev
Rancho Arm,product,ai_dev
Rancho Los Amigos National Rehabilitation Center,location,ai_dev
Downey,location,ai_dev
California,location,ai_dev
UCSD,university,ai_dev
Norman,researcher,ai_dev
the Institute for Cognitive Science,organisation,ai_dev
Allan M. Collins,researcher,ai_dev
articulated robots,product,ai_dev
SCARA robots,product,ai_dev
delta robots,product,ai_dev
cartesian coordinate robots,product,ai_dev
gantry robots,product,ai_dev
x-y-z robots,product,ai_dev
Module TM,ai,ai_dev
LTM,ai,ai_dev
Newton Labs,organisation,ai_dev
CNN,organisation,ai_dev
The Butler 's in Love,ai,ai_dev
David Arquette,person,ai_dev
Elizabeth Berkley,person,ai_dev
Thomas Jane,person,ai_dev
taxonomy,field,ai_dev
humanoid robot systems,product,ai_dev
ASIMO,product,ai_dev
locomotion,ai,ai_dev
LEPOR,metrics,ai_dev
n-gram word order penalty,ai,ai_dev
Bilingual evaluation understudy metric,metrics,ai_dev
Octave,product,ai_dev
Ruby,programlang,ai_dev
Scheme,programlang,ai_dev
AISB,organisation,ai_dev
IJCAI,conference,ai_dev
Artificial Intelligence,field,ai_dev
American Association for Artificial Intelligence,organisation,ai_dev
Now is the Time ( to Put On Your Glasses ),ai,ai_dev
Around is Around,ai,ai_dev
Norman McLaren,person,ai_dev
National Film Board of Canada,organisation,ai_dev
recommender system,product,ai_dev
