term,annotation,df
convulsions,Disease,bc5cdr
tuberculosis,Disease,bc5cdr
clonic fits,Disease,bc5cdr
fits,Disease,bc5cdr
fractures,Disease,bc5cdr
fracture,Disease,bc5cdr
dislocation,Disease,bc5cdr
trauma,Disease,bc5cdr
nausea,Disease,bc5cdr
emesis,Disease,bc5cdr
clumsiness,Disease,bc5cdr
ataxic movements,Disease,bc5cdr
dysphoric reaction,Disease,bc5cdr
hallucinations,Disease,bc5cdr
thrombotic microangiopathy,Disease,bc5cdr
tma,Disease,bc5cdr
cancer,Disease,bc5cdr
neuropathic pain,Disease,bc5cdr
vomiting,Disease,bc5cdr
confusion,Disease,bc5cdr
dry mouth,Disease,bc5cdr
toxicities,Disease,bc5cdr
urinary incontinence,Disease,bc5cdr
incontinence,Disease,bc5cdr
seizures,Disease,bc5cdr
seizure,Disease,bc5cdr
spasticity,Disease,bc5cdr
disorders of the central nervous system,Disease,bc5cdr
vasculitis,Disease,bc5cdr
pericarditis,Disease,bc5cdr
hyperthyroidism,Disease,bc5cdr
fever,Disease,bc5cdr
glomerulonephritis,Disease,bc5cdr
graves ' disease,Disease,bc5cdr
febrile illness,Disease,bc5cdr
anuria,Disease,bc5cdr
hypertensive,Disease,bc5cdr
chronic renal insufficiency,Disease,bc5cdr
myocardial infarction,Disease,bc5cdr
pulmonary edema,Disease,bc5cdr
systolic dysfunction,Disease,bc5cdr
renal artery stenosis,Disease,bc5cdr
heart failure,Disease,bc5cdr
renovascular disease,Disease,bc5cdr
cips,Disease,bc5cdr
bone marrow oedema,Disease,bc5cdr
reflex sympathetic dystrophy,Disease,bc5cdr
polyneuropathy,Disease,bc5cdr
morton ' s neuralgia,Disease,bc5cdr
gout,Disease,bc5cdr
osteoporosis,Disease,bc5cdr
avascular necrosis,Disease,bc5cdr
intermittent claudication,Disease,bc5cdr
foot deformities,Disease,bc5cdr
stress fractures,Disease,bc5cdr
hyperparathyroidism,Disease,bc5cdr
cardiotoxicity,Disease,bc5cdr
cardiac dysfunction,Disease,bc5cdr
acute leukemia,Disease,bc5cdr
congestive heart failure,Disease,bc5cdr
nephrotoxicity,Disease,bc5cdr
acute tubular necrosis,Disease,bc5cdr
oliguric renal failure,Disease,bc5cdr
renal insufficiency,Disease,bc5cdr
necrotic,Disease,bc5cdr
lung toxicity,Disease,bc5cdr
tissue damage,Disease,bc5cdr
necrosis,Disease,bc5cdr
mania,Disease,bc5cdr
bipolar,Disease,bc5cdr
bipolar depression,Disease,bc5cdr
bipolar disorder,Disease,bc5cdr
manic,Disease,bc5cdr
hypomanic,Disease,bc5cdr
dsm - iv bipolar i,Disease,bc5cdr
bipolar ii,Disease,bc5cdr
hypomania,Disease,bc5cdr
bipolar i,Disease,bc5cdr
kidney disease,Disease,bc5cdr
transplant glomerulopathy,Disease,bc5cdr
tg,Disease,bc5cdr
chronic allograft nephropathy,Disease,bc5cdr
glomerulopathies,Disease,bc5cdr
malignant hypertension,Disease,bc5cdr
interstitial nephritis,Disease,bc5cdr
lupus nephritis,Disease,bc5cdr
henoch - schonlein nephritis,Disease,bc5cdr
acute renal failure,Disease,bc5cdr
renal failure,Disease,bc5cdr
proteinuria,Disease,bc5cdr
kidney diseases,Disease,bc5cdr
endothelial injury,Disease,bc5cdr
immunologic injury,Disease,bc5cdr
cardiac arrhythmia,Disease,bc5cdr
mitral valve prolapse,Disease,bc5cdr
ventricular fibrillation,Disease,bc5cdr
convulsive,Disease,bc5cdr
liver disease,Disease,bc5cdr
chronic active ( aggressive ) hepatitis,Disease,bc5cdr
withdrawal - emergent rabbit syndrome,Disease,bc5cdr
rabbit syndrome,Disease,bc5cdr
rs,Disease,bc5cdr
withdrawal - emergent rs,Disease,bc5cdr
torsades de pointes,Disease,bc5cdr
tdp,Disease,bc5cdr
ventricular tachycardia,Disease,bc5cdr
retention of urine,Disease,bc5cdr
chest wall rigidity,Disease,bc5cdr
respiratory depression,Disease,bc5cdr
urinary bladder retention,Disease,bc5cdr
hydronephrosis,Disease,bc5cdr
myeloencephalopathy,Disease,bc5cdr
acute lymphoblastic leucemia,Disease,bc5cdr
lymphoblastic lymphoma,Disease,bc5cdr
"opistothonus , sensory and motor dysfunction",Disease,bc5cdr
paralysis,Disease,bc5cdr
degeneration of myelin and axons,Disease,bc5cdr
pseudocystic transformation,Disease,bc5cdr
palpebral twitching,Disease,bc5cdr
major depression,Disease,bc5cdr
dermatitis,Disease,bc5cdr
lymphadenopathy,Disease,bc5cdr
hepatitis,Disease,bc5cdr
rheumatoid arthritis,Disease,bc5cdr
lymphadenitis,Disease,bc5cdr
adverse drug reaction,Disease,bc5cdr
drug - induced hepatitis,Disease,bc5cdr
autoimmunity,Disease,bc5cdr
multi - organ failure,Disease,bc5cdr
massive hepatocellular necrosis,Disease,bc5cdr
myocarditis,Disease,bc5cdr
nephritis,Disease,bc5cdr
bone marrow necrosis,Disease,bc5cdr
malignancy,Disease,bc5cdr
akathisia,Disease,bc5cdr
headache,Disease,bc5cdr
agitation,Disease,bc5cdr
cardiomyopathy,Disease,bc5cdr
aids,Disease,bc5cdr
cm,Disease,bc5cdr
mitochondrial dysfunction,Disease,bc5cdr
breast carcinoma,Disease,bc5cdr
ototoxicity,Disease,bc5cdr
neuropathy,Disease,bc5cdr
neurologic toxicity,Disease,bc5cdr
tumor,Disease,bc5cdr
end - stage renal disease,Disease,bc5cdr
esrd,Disease,bc5cdr
nephrotoxic,Disease,bc5cdr
chronic renal failure,Disease,bc5cdr
crf,Disease,bc5cdr
renal dysfunction,Disease,bc5cdr
hepatorenal syndrome,Disease,bc5cdr
epileptic seizures,Disease,bc5cdr
generalized seizures,Disease,bc5cdr
exencephaly,Disease,bc5cdr
anencephaly,Disease,bc5cdr
exencephalic,Disease,bc5cdr
hemorrhaging,Disease,bc5cdr
circulatory failure,Disease,bc5cdr
infarct,Disease,bc5cdr
infarction,Disease,bc5cdr
cardiac infarction,Disease,bc5cdr
overdose,Disease,bc5cdr
cardiac arrhythmias,Disease,bc5cdr
cardiac arrest,Disease,bc5cdr
neurological and cardiovascular toxicity,Disease,bc5cdr
nephrosis,Disease,bc5cdr
glomerular injury,Disease,bc5cdr
glomerulosclerosis,Disease,bc5cdr
aplastic anemia,Disease,bc5cdr
constipation,Disease,bc5cdr
constipating,Disease,bc5cdr
chronic pain,Disease,bc5cdr
encephalopathy,Disease,bc5cdr
asterixis,Disease,bc5cdr
myoclonus,Disease,bc5cdr
plasmacytoma,Disease,bc5cdr
structural lesions of the brain,Disease,bc5cdr
metabolic abnormalities,Disease,bc5cdr
anemia,Disease,bc5cdr
tremor,Disease,bc5cdr
convulsion,Disease,bc5cdr
convulsants,Disease,bc5cdr
muscle pain,Disease,bc5cdr
temporomandibular disorders,Disease,bc5cdr
nociceptive muscle,Disease,bc5cdr
painful muscle,Disease,bc5cdr
locomotor hyperactivity,Disease,bc5cdr
hyperlocomotion,Disease,bc5cdr
chest pain,Disease,bc5cdr
migraine,Disease,bc5cdr
phonophobia,Disease,bc5cdr
photophobia,Disease,bc5cdr
dizziness,Disease,bc5cdr
somnolence,Disease,bc5cdr
ocular and orbital toxicity,Disease,bc5cdr
glioblastomas,Disease,bc5cdr
glioblastoma,Disease,bc5cdr
malignant tumor,Disease,bc5cdr
pain and visual disturbance in the ipsilateral eye,Disease,bc5cdr
glaucoma,Disease,bc5cdr
ocular pain,Disease,bc5cdr
papilledema,Disease,bc5cdr
retinal detachment,Disease,bc5cdr
chorioretinal atrophy,Disease,bc5cdr
optic atrophy,Disease,bc5cdr
ocular toxicity,Disease,bc5cdr
visual hallucinations,Disease,bc5cdr
epilepsy,Disease,bc5cdr
epileptic,Disease,bc5cdr
absence seizures,Disease,bc5cdr
absence epilepsy,Disease,bc5cdr
absence seizure,Disease,bc5cdr
renal injury,Disease,bc5cdr
increase in blood pressure,Disease,bc5cdr
reduction in glomerular number,Disease,bc5cdr
elevated blood pressures,Disease,bc5cdr
fibrosis,Disease,bc5cdr
myocardial damage,Disease,bc5cdr
myocardial cell injury,Disease,bc5cdr
cardiac disorders,Disease,bc5cdr
ischemic injury,Disease,bc5cdr
hypoxemia,Disease,bc5cdr
pulmonary hypertension,Disease,bc5cdr
fistula,Disease,bc5cdr
necrotizing enterocolitis,Disease,bc5cdr
acne,Disease,bc5cdr
hirsutism,Disease,bc5cdr
polycystic ovary syndrome,Disease,bc5cdr
pcos,Disease,bc5cdr
tubular necrosis,Disease,bc5cdr
prostate cancer,Disease,bc5cdr
cholestatic hepatitis,Disease,bc5cdr
jaundice,Disease,bc5cdr
cholestasis,Disease,bc5cdr
hepatotoxicity,Disease,bc5cdr
nephrotic syndrome,Disease,bc5cdr
substance abuse,Disease,bc5cdr
visual field defects,Disease,bc5cdr
vfd,Disease,bc5cdr
neurologic complications,Disease,bc5cdr
white matter abnormalities,Disease,bc5cdr
putaminal hemorrhage,Disease,bc5cdr
cortical laminar necrosis,Disease,bc5cdr
increases in blood pressure,Disease,bc5cdr
bleeding,Disease,bc5cdr
ich,Disease,bc5cdr
hippocampal injury,Disease,bc5cdr
status epilepticus,Disease,bc5cdr
se,Disease,bc5cdr
pseudoacromegaly,Disease,bc5cdr
acromegaly,Disease,bc5cdr
endocrine disorder,Disease,bc5cdr
hypertrophy,Disease,bc5cdr
cutis verticis gyrata,Disease,bc5cdr
prostatic adenocarcinoma,Disease,bc5cdr
delirium,Disease,bc5cdr
hyperthermia,Disease,bc5cdr
neurological and psychiatric disorders,Disease,bc5cdr
drug dependence,Disease,bc5cdr
increase in locomotor activity,Disease,bc5cdr
nephropathy,Disease,bc5cdr
crohn ' s disease,Disease,bc5cdr
inflammatory bowel disease,Disease,bc5cdr
depressive,Disease,bc5cdr
depression,Disease,bc5cdr
sexual dysfunction,Disease,bc5cdr
glaucomatous,Disease,bc5cdr
neurotoxic,Disease,bc5cdr
neurologic sequelae,Disease,bc5cdr
weakness of extremities,Disease,bc5cdr
legs paralysis,Disease,bc5cdr
dysarthria,Disease,bc5cdr
adverse drug reactions,Disease,bc5cdr
dyskinesias,Disease,bc5cdr
parkinsonian,Disease,bc5cdr
lids,Disease,bc5cdr
parkinsonism,Disease,bc5cdr
dyskinesia,Disease,bc5cdr
sugar dependency,Disease,bc5cdr
behavioral cross - sensitization,Disease,bc5cdr
drug dependency,Disease,bc5cdr
hyperactive,Disease,bc5cdr
dilated cardiomyopathy,Disease,bc5cdr
coccidioidomycosis,Disease,bc5cdr
migraineurs ( without aura ),Disease,bc5cdr
hemorrhagic cystitis,Disease,bc5cdr
wegener ' s granulomatosis,Disease,bc5cdr
hematuria,Disease,bc5cdr
acute psychosis,Disease,bc5cdr
psychosis,Disease,bc5cdr
trigeminal neuralgia,Disease,bc5cdr
psychotic symptoms,Disease,bc5cdr
nocturnal leg cramps,Disease,bc5cdr
neurological complications,Disease,bc5cdr
coma,Disease,bc5cdr
platypnea - orthodeoxia - like syndrome,Disease,bc5cdr
ebstein ' s anomaly,Disease,bc5cdr
platypnea - orthodeoxia,Disease,bc5cdr
hypoxia,Disease,bc5cdr
cyanosis,Disease,bc5cdr
patent foramen ovale,Disease,bc5cdr
biventricular dysfunction,Disease,bc5cdr
vascular dysfunctions,Disease,bc5cdr
cluster headache,Disease,bc5cdr
intracranial vascular disturbances,Disease,bc5cdr
increases in dural and cortical blood flow,Disease,bc5cdr
increases in dural blood flow,Disease,bc5cdr
neuropathological damages,Disease,bc5cdr
poisoning,Disease,bc5cdr
behavioral disorder,Disease,bc5cdr
behavioral deterioration,Disease,bc5cdr
hyperkinesis,Disease,bc5cdr
irritability,Disease,bc5cdr
sleeping difficulties,Disease,bc5cdr
temporal lobe epilepsy,Disease,bc5cdr
urinary bladder cancer,Disease,bc5cdr
bladder cancer,Disease,bc5cdr
a reduced locomotor activity,Disease,bc5cdr
left ventricular systolic and diastolic dysfunction,Disease,bc5cdr
myocardial dysfunction,Disease,bc5cdr
myocardial stunning,Disease,bc5cdr
myocardial necrosis,Disease,bc5cdr
tinnitus,Disease,bc5cdr
idiopathic subjective tinnitus,Disease,bc5cdr
ist,Disease,bc5cdr
vertigo,Disease,bc5cdr
hypolocomotion,Disease,bc5cdr
tremors,Disease,bc5cdr
cardiac toxicity,Disease,bc5cdr
chf,Disease,bc5cdr
diabetes mellitus,Disease,bc5cdr
obstructive lung disease,Disease,bc5cdr
cataracts,Disease,bc5cdr
gallbladder disease,Disease,bc5cdr
endometrial hyperplasia or cancer,Disease,bc5cdr
endometrial hyperplasia,Disease,bc5cdr
endometrial cancer,Disease,bc5cdr
gastrointestinal disorders,Disease,bc5cdr
sleep disturbances,Disease,bc5cdr
parasomnias,Disease,bc5cdr
beta - thalassemic,Disease,bc5cdr
hearing loss,Disease,bc5cdr
beta - thalassemia,Disease,bc5cdr
sensorineural hearing loss,Disease,bc5cdr
snhl,Disease,bc5cdr
ototoxic,Disease,bc5cdr
hearing impairment,Disease,bc5cdr
thalassemic,Disease,bc5cdr
renal damage,Disease,bc5cdr
nephrotic,Disease,bc5cdr
renal interstitial damage,Disease,bc5cdr
focal glomerulosclerosis,Disease,bc5cdr
hyperkalemia,Disease,bc5cdr
diabetes,Disease,bc5cdr
orofacial dyskinesia,Disease,bc5cdr
tardive dyskinesia,Disease,bc5cdr
td,Disease,bc5cdr
orofacial diskinesia,Disease,bc5cdr
biliary pseudolithiasis,Disease,bc5cdr
pseudolithiasis,Disease,bc5cdr
gallbladder dysfunction,Disease,bc5cdr
coronary aneurysm,Disease,bc5cdr
vessel rupture,Disease,bc5cdr
hemolytic uremic syndrome,Disease,bc5cdr
antiphospholipid syndrome,Disease,bc5cdr
systemic lupus erythematosus,Disease,bc5cdr
ventricular septal ( vsd ) and midline ( md ) defects,Disease,bc5cdr
intrauterine growth retardation,Disease,bc5cdr
increase of external and skeletal variations,Disease,bc5cdr
ventricular septal and midline defects,Disease,bc5cdr
atrial fibrillation,Disease,bc5cdr
heart disease,Disease,bc5cdr
arrhythmia,Disease,bc5cdr
thyroid disorders,Disease,bc5cdr
acute alcohol intoxication,Disease,bc5cdr
strokes,Disease,bc5cdr
memory deficiency,Disease,bc5cdr
memory deficits,Disease,bc5cdr
memory deficit,Disease,bc5cdr
cocaine overdose,Disease,bc5cdr
myocardial injury,Disease,bc5cdr
schizophrenic,Disease,bc5cdr
ischemia,Disease,bc5cdr
bundle branch block,Disease,bc5cdr
penile erection,Disease,bc5cdr
psychiatric disorders,Disease,bc5cdr
amnesia,Disease,bc5cdr
memory dissociation,Disease,bc5cdr
osteopenia,Disease,bc5cdr
amenorrhea,Disease,bc5cdr
hyperammonemia,Disease,bc5cdr
dysphonia,Disease,bc5cdr
high - frequency hearing loss,Disease,bc5cdr
hiccups,Disease,bc5cdr
tissue injury,Disease,bc5cdr
secondary hyperalgesia,Disease,bc5cdr
neurogenic hyperalgesia,Disease,bc5cdr
mitochondrial abnormalities,Disease,bc5cdr
nephrosclerosis,Disease,bc5cdr
renovascular hypertension,Disease,bc5cdr
albuminuria,Disease,bc5cdr
coronary artery disease,Disease,bc5cdr
prolonged qt interval,Disease,bc5cdr
fungal infection,Disease,bc5cdr
long qt syndrome,Disease,bc5cdr
cerebral vasculitis,Disease,bc5cdr
amphetamine abuse,Disease,bc5cdr
ischaemic stroke,Disease,bc5cdr
ischaemic strokes,Disease,bc5cdr
impaired social and emotional judgement processes,Disease,bc5cdr
non - small cell lung cancer,Disease,bc5cdr
squamous carcinoma,Disease,bc5cdr
adenocarcinoma,Disease,bc5cdr
bronchio - alveolar carcinoma,Disease,bc5cdr
undifferentiated carcinoma,Disease,bc5cdr
infections,Disease,bc5cdr
phlebitis,Disease,bc5cdr
squamous cell carcinoma,Disease,bc5cdr
tumour,Disease,bc5cdr
alzheimer ' s disease,Disease,bc5cdr
asystole,Disease,bc5cdr
hyperhidrosis,Disease,bc5cdr
hypersalivation,Disease,bc5cdr
bronchorrhoea,Disease,bc5cdr
miosis,Disease,bc5cdr
atrio - ventricular dissociation,Disease,bc5cdr
dyspnoea,Disease,bc5cdr
bronchospasm,Disease,bc5cdr
respiratory insufficiency,Disease,bc5cdr
proteus mirabilis infection,Disease,bc5cdr
acute cardiovascular failure,Disease,bc5cdr
cognitive dysfunctions,Disease,bc5cdr
pancreatitis,Disease,bc5cdr
bone marrow suppression,Disease,bc5cdr
impaired consciousness,Disease,bc5cdr
cerebral haemorrhage,Disease,bc5cdr
cerebral haemorrhages,Disease,bc5cdr
haemorrhage,Disease,bc5cdr
schizophrenia,Disease,bc5cdr
cauda equina syndrome,Disease,bc5cdr
radiculopathy,Disease,bc5cdr
low back and right leg pain,Disease,bc5cdr
numbness,Disease,bc5cdr
lower extremity weakness,Disease,bc5cdr
loss of sensation,Disease,bc5cdr
neurologic deterioration,Disease,bc5cdr
atherosclerosis,Disease,bc5cdr
embolic events,Disease,bc5cdr
abnormal liver function,Disease,bc5cdr
cardiac remodelling,Disease,bc5cdr
hyperlipidemia,Disease,bc5cdr
tetany,Disease,bc5cdr
muscle contractions,Disease,bc5cdr
hypocalcemia,Disease,bc5cdr
cystic renal diseases,Disease,bc5cdr
renal cancer,Disease,bc5cdr
acute renal dysfunction,Disease,bc5cdr
chronic renal damage,Disease,bc5cdr
can,Disease,bc5cdr
neoplasia,Disease,bc5cdr
kaposi ' s sarcoma,Disease,bc5cdr
skin cancers,Disease,bc5cdr
intestinal tumors,Disease,bc5cdr
renal cell carsinom,Disease,bc5cdr
membranoproliferative glomerulopathy,Disease,bc5cdr
renal toxicity,Disease,bc5cdr
malignant mesenchymal tumors,Disease,bc5cdr
malignant mesenchymal tumor,Disease,bc5cdr
glucosuria,Disease,bc5cdr
aminoaciduria,Disease,bc5cdr
renal abnormalities,Disease,bc5cdr
fanconi ' s syndrome,Disease,bc5cdr
tdfs,Disease,bc5cdr
mesenchymal tumors,Disease,bc5cdr
myopathy,Disease,bc5cdr
hyperckaemia,Disease,bc5cdr
cardiovascular disease,Disease,bc5cdr
coronary heart disease,Disease,bc5cdr
granulomatous hepatitis,Disease,bc5cdr
granulomas,Disease,bc5cdr
liver injury,Disease,bc5cdr
cholestatic syndrome,Disease,bc5cdr
eosinophilia,Disease,bc5cdr
cardiac damage,Disease,bc5cdr
decreases of teoaes amplitudes,Disease,bc5cdr
compartment syndrome,Disease,bc5cdr
myonecrosis,Disease,bc5cdr
hypothyroidism,Disease,bc5cdr
hypothyroid,Disease,bc5cdr
arteriopathic,Disease,bc5cdr
neuroinflammation,Disease,bc5cdr
behavioral abnormalities,Disease,bc5cdr
autism,Disease,bc5cdr
neurodevelopmental disorder,Disease,bc5cdr
deficits in communication and social skills,Disease,bc5cdr
repetitive behaviors,Disease,bc5cdr
preterm labor,Disease,bc5cdr
autism spectrum disorders,Disease,bc5cdr
injury to the brain,Disease,bc5cdr
ht,Disease,bc5cdr
increased sbp,Disease,bc5cdr
decreased thymus ( p < 0 . 001 ) and bodyweights,Disease,bc5cdr
meth mouth,Disease,bc5cdr
hypercoagulability,Disease,bc5cdr
takotsubo cardiomyopathy,Disease,bc5cdr
localized scleroderma,Disease,bc5cdr
contractures,Disease,bc5cdr
cerebral sinus thrombosis,Disease,bc5cdr
menorrhagia,Disease,bc5cdr
sagittal and left transverse sinus thrombosis,Disease,bc5cdr
blood loss,Disease,bc5cdr
thromboembolic disease,Disease,bc5cdr
cerebral vascular accident,Disease,bc5cdr
cva,Disease,bc5cdr
head trauma,Disease,bc5cdr
renal disease,Disease,bc5cdr
ventricular arrhythmias,Disease,bc5cdr
arrhythmias,Disease,bc5cdr
tumors,Disease,bc5cdr
ischemic,Disease,bc5cdr
anginal,Disease,bc5cdr
angina,Disease,bc5cdr
sudden death,Disease,bc5cdr
hiv disease,Disease,bc5cdr
fatigue,Disease,bc5cdr
megaloblastosis,Disease,bc5cdr
infection by hepatitis b virus,Disease,bc5cdr
hepatitis b,Disease,bc5cdr
analgesia,Disease,bc5cdr
muscular rigidity,Disease,bc5cdr
muscle rigidity,Disease,bc5cdr
muscle flaccidity,Disease,bc5cdr
rigidity,Disease,bc5cdr
akinetic,Disease,bc5cdr
startle,Disease,bc5cdr
cardiovascular impairments,Disease,bc5cdr
decrease of mean arterial blood pressure ( mbp ) and heart rate ( hr ),Disease,bc5cdr
decrease of mbp and hr,Disease,bc5cdr
cardiovascular toxicity,Disease,bc5cdr
cardiovascular alterations,Disease,bc5cdr
flank pain,Disease,bc5cdr
hay fever,Disease,bc5cdr
asthma,Disease,bc5cdr
kidney stones,Disease,bc5cdr
glycosuria,Disease,bc5cdr
dm,Disease,bc5cdr
arf,Disease,bc5cdr
diabetic,Disease,bc5cdr
cataleptic,Disease,bc5cdr
increased cardiac output,Disease,bc5cdr
rise in resting blood pressure,Disease,bc5cdr
venous thrombosis,Disease,bc5cdr
deep venous thrombosis,Disease,bc5cdr
hypokalemia,Disease,bc5cdr
dystonia,Disease,bc5cdr
movement disorder,Disease,bc5cdr
respiratory paralysis,Disease,bc5cdr
hypokalaemia,Disease,bc5cdr
bradycardias,Disease,bc5cdr
nephrogenic diabetes insipidus,Disease,bc5cdr
spring allergic rhinitis,Disease,bc5cdr
drowsiness,Disease,bc5cdr
altered taste perception,Disease,bc5cdr
seasonal allergic rhinitis,Disease,bc5cdr
ra,Disease,bc5cdr
contralateral rotation,Disease,bc5cdr
substantia nigra lesion,Disease,bc5cdr
sn lesion,Disease,bc5cdr
ipsilateral circling,Disease,bc5cdr
rotational behavior,Disease,bc5cdr
rotation,Disease,bc5cdr
hus,Disease,bc5cdr
renal lesions,Disease,bc5cdr
thrombi,Disease,bc5cdr
gastric adenocarcinoma,Disease,bc5cdr
"cardiovascular , and respiratory depression",Disease,bc5cdr
chorea,Disease,bc5cdr
rheumatic fever,Disease,bc5cdr
carcinogenic,Disease,bc5cdr
forestomach carcinogenesis,Disease,bc5cdr
forestomach tumorigenesis,Disease,bc5cdr
forestomach tumors,Disease,bc5cdr
squamous cell papilloma,Disease,bc5cdr
carcinoma,Disease,bc5cdr
epithelial hyperplasia,Disease,bc5cdr
papillomas,Disease,bc5cdr
cardiotoxic,Disease,bc5cdr
cardiac failure,Disease,bc5cdr
cerebral lesions,Disease,bc5cdr
cerebral abnormalities,Disease,bc5cdr
st .,Disease,bc5cdr
anthony ' s fire,Disease,bc5cdr
vasospasm,Disease,bc5cdr
gangrene,Disease,bc5cdr
migraine headache,Disease,bc5cdr
parkinsonian symptoms,Disease,bc5cdr
anxiety,Disease,bc5cdr
cytotoxicity,Disease,bc5cdr
ovarian cancer,Disease,bc5cdr
hepatoma,Disease,bc5cdr
mesothelioma,Disease,bc5cdr
malaise,Disease,bc5cdr
type b hepatitis,Disease,bc5cdr
prostate adenocarcinomas,Disease,bc5cdr
pas,Disease,bc5cdr
pa,Disease,bc5cdr
injury to different regions of the kidney,Disease,bc5cdr
acute experimental models of renal damage,Disease,bc5cdr
protein excretion,Disease,bc5cdr
glomerular damage,Disease,bc5cdr
excretion of proteins,Disease,bc5cdr
reye,Disease,bc5cdr
reye syndrome,Disease,bc5cdr
inhibition of lactation,Disease,bc5cdr
hyperglycemic acidotic coma,Disease,bc5cdr
kearns - sayre syndrome,Disease,bc5cdr
lethargy,Disease,bc5cdr
polydipsia,Disease,bc5cdr
polyphagia,Disease,bc5cdr
polyuria,Disease,bc5cdr
hyperglycemia,Disease,bc5cdr
acidosis,Disease,bc5cdr
lactic acidosis,Disease,bc5cdr
ketosis,Disease,bc5cdr
respiratory failure,Disease,bc5cdr
metabolic - endocrine failure,Disease,bc5cdr
coronary disease,Disease,bc5cdr
ventricular ectopic beats,Disease,bc5cdr
ischaemic heart disease,Disease,bc5cdr
wernicke ' s encephalopathy,Disease,bc5cdr
wernicke - korsakoff syndrome,Disease,bc5cdr
carcinogenesis,Disease,bc5cdr
hepatocarcinogenesis,Disease,bc5cdr
preneoplastic foci,Disease,bc5cdr
precancerous lesions,Disease,bc5cdr
bilateral optic neuropathy,Disease,bc5cdr
bilateral retrobulbar neuropathy,Disease,bc5cdr
scotoma,Disease,bc5cdr
infection,Disease,bc5cdr
thrombophlebitis,Disease,bc5cdr
rash,Disease,bc5cdr
colon carcinoma,Disease,bc5cdr
metastasis,Disease,bc5cdr
prinzmetal ' s angina,Disease,bc5cdr
coronary spasm,Disease,bc5cdr
degenerating myelinated fibers,Disease,bc5cdr
tachyarrhythmias,Disease,bc5cdr
hepatic injury,Disease,bc5cdr
steatosis,Disease,bc5cdr
alcoholic hepatitis,Disease,bc5cdr
cirrhosis of the liver,Disease,bc5cdr
cholestatic injury,Disease,bc5cdr
hepatomegaly,Disease,bc5cdr
prostatitis,Disease,bc5cdr
qtc prolongation,Disease,bc5cdr
muscle degeneration,Disease,bc5cdr
muscle damage,Disease,bc5cdr
diplopia,Disease,bc5cdr
bladder and liver tumours,Disease,bc5cdr
bladder carcinomas,Disease,bc5cdr
bladder tumours,Disease,bc5cdr
hyperplasia,Disease,bc5cdr
bladder calculi,Disease,bc5cdr
tumours,Disease,bc5cdr
