term,annotation,df
tata box,DNA,jnlpba
x consensus element,DNA,jnlpba
x box sequences,DNA,jnlpba
dra promoter,DNA,jnlpba
dra `` octamer '',DNA,jnlpba
otf-2,protein,jnlpba
immunoglobulin promoters,DNA,jnlpba
human immunodeficiency virus type 1-long terminal repeat ( hiv-1-ltr ) cat constructs,DNA,jnlpba
monocyte/macrophage-like cell lines,cell_line,jnlpba
t cell line,cell_line,jnlpba
nuclear factor kappa b,protein,jnlpba
u937,cell_line,jnlpba
thp-1 cells,cell_line,jnlpba
chronically infected monocyte/macrophage-like cloned cell line,cell_line,jnlpba
u1,cell_line,jnlpba
granulocyte/macrophage colony-stimulating factor,protein,jnlpba
gm-csf,protein,jnlpba
hiv-1 rna,RNA,jnlpba
basophils,cell_type,jnlpba
basophil cell,cell_type,jnlpba
t lymphocytes,cell_type,jnlpba
alveolar macrophages,cell_type,jnlpba
uncultured cells,cell_type,jnlpba
blood mononuclear cells,cell_type,jnlpba
lavage cells,cell_type,jnlpba
macrophages,cell_type,jnlpba
megakaryocytic and erythrocytic lineages,cell_line,jnlpba
transcription factors,protein,jnlpba
erythroid-specific genes,DNA,jnlpba
nf-e1,protein,jnlpba
gf-1,protein,jnlpba
eryf-1,protein,jnlpba
dna-binding protein,protein,jnlpba
erythrocytic lineage,cell_type,jnlpba
human megakaryocytic cell line,cell_line,jnlpba
purified human megakaryocytes,cell_line,jnlpba
promoter regions,DNA,jnlpba
megakaryocytic-specific genes,DNA,jnlpba
erythroid protein,protein,jnlpba
nf-e1 messenger rna,RNA,jnlpba
megakaryocytic and erythroid cell lines,cell_line,jnlpba
megakaryocytic-specific promoter,DNA,jnlpba
nf-e2,protein,jnlpba
trans-acting factor,protein,jnlpba
megakaryocytes,cell_line,jnlpba
trans-acting factors,protein,jnlpba
erythrocytic and the megakaryocytic lineages,cell_line,jnlpba
erythrocytic and megakaryocytic lineages,cell_type,jnlpba
erythroblastic and megakaryoblastic permanent cell lines,cell_line,jnlpba
c-myc,DNA,jnlpba
human t lymphoblastic tumor cell line,cell_line,jnlpba
molt4 c-myc mrna,RNA,jnlpba
calcium-dependent induced gene product,protein,jnlpba
oestrogen receptor,protein,jnlpba
er,protein,jnlpba
oestrogen receptors,protein,jnlpba
neoplastic lymphoid cells,cell_type,jnlpba
cultured mcf-7 cells,cell_line,jnlpba
er positive cells,cell_type,jnlpba
type-ii estrogen binding sites,protein,jnlpba
lymphoblastoid cell line,cell_line,jnlpba
type-ii estrogen-binding sites,protein,jnlpba
type-ii ebs,protein,jnlpba
human lymphoblastoid cell line,cell_line,jnlpba
im-9,cell_line,jnlpba
glucocorticoid receptors,protein,jnlpba
peripheral blood lymphocytes,cell_type,jnlpba
gcr,protein,jnlpba
glucocorticoid binding sites,protein,jnlpba
human glucocorticoid receptor,protein,jnlpba
leukemic cells,cell_type,jnlpba
glucocorticoid receptor,protein,jnlpba
gr,protein,jnlpba
cem c7 cells,cell_line,jnlpba
human acute lymphoblastic t-cell line,cell_line,jnlpba
higher affinity cvz binding site,protein,jnlpba
b-cell line,cell_line,jnlpba
cvz 's binding sites,protein,jnlpba
exogenous genes,DNA,jnlpba
primary lymphoid cells,cell_type,jnlpba
transactivator,protein,jnlpba
normal and malignant cells,cell_type,jnlpba
exogenous promoter,DNA,jnlpba
histone promoter-driven beta-galactosidase gene,DNA,jnlpba
beta-galactosidase,protein,jnlpba
beta-galactosidase gene,DNA,jnlpba
adenovirus e2 promoter,DNA,jnlpba
cultured,cell_line,jnlpba
primary cells,cell_type,jnlpba
transactivators,protein,jnlpba
viral gene products,protein,jnlpba
t- and 0-lymphocytes,cell_type,jnlpba
hla antigens,protein,jnlpba
a10,protein,jnlpba
b27 antigen,protein,jnlpba
antigen b27,protein,jnlpba
blood lymphocytes,cell_type,jnlpba
human chronic myelogenous leukemia cell line,cell_line,jnlpba
rwleu-4,cell_line,jnlpba
philadelphia chromosome-positive chronic myelogenous leukemia cell line,cell_line,jnlpba
rwleu-4 cells,cell_line,jnlpba
24r-hydroxylase,protein,jnlpba
macrophage/monocyte type cells,cell_type,jnlpba
cell surface maturation-specific antigens,protein,jnlpba
monocyte/macrophage lineage,cell_type,jnlpba
c-myc rna,RNA,jnlpba
p210bcr-abl oncogene product,protein,jnlpba
leucine zipper class,protein,jnlpba
hla dr alpha promoter,DNA,jnlpba
transformed human b cell lines,cell_line,jnlpba
major histocompatibility complex ( mhc ) class ii genes,DNA,jnlpba
class ii gene,DNA,jnlpba
mutant line,cell_line,jnlpba
mhc class ii x box,DNA,jnlpba
conserved transcriptional element,DNA,jnlpba
promoter region,DNA,jnlpba
complementary dna,DNA,jnlpba
human x box binding protein,protein,jnlpba
hxbp-1,protein,jnlpba
human dr alpha x box,DNA,jnlpba
3 ' flanking region,DNA,jnlpba
c-jun proto-oncogene product,protein,jnlpba
palindromic target sequence,DNA,jnlpba
c-jun,DNA,jnlpba
hxbp-1 dna target sequence,DNA,jnlpba
dr alpha promoter,DNA,jnlpba
hxbp-1 protein,protein,jnlpba
transcription factor,protein,jnlpba
i aldosterone receptors,protein,jnlpba
peripheral mononuclear leucocytes,cell_type,jnlpba
normal receptor,protein,jnlpba
estrogen/progesterone receptor,protein,jnlpba
natural killer cell,cell_type,jnlpba
killer ( nk ) cell,cell_type,jnlpba
estrogen receptor,protein,jnlpba
lymphocyte cytosolic protein,protein,jnlpba
lymphocyte dna,DNA,jnlpba
cytosolic protein,protein,jnlpba
antidsdna antibody,protein,jnlpba
globin gene,DNA,jnlpba
differentiated embryonic stem cells,cell_type,jnlpba
mouse embryonic stem ( es ) cells,cell_type,jnlpba
es-derived embryoid bodies,cell_type,jnlpba
mouse embryonic globin genes,DNA,jnlpba
fetal/adult genes,DNA,jnlpba
erythroid-specific transcription factor,protein,jnlpba
globin,protein,jnlpba
embryoid bodies,cell_type,jnlpba
human epsilon- or beta-globin genes,DNA,jnlpba
dominant control region,DNA,jnlpba
dcr,DNA,jnlpba
human epsilon-globin gene,DNA,jnlpba
beta-globin gene,DNA,jnlpba
embryonic gene,DNA,jnlpba
epsilon-globin gene,DNA,jnlpba
human beta-globin locus,DNA,jnlpba
mitogen-inducible gene,DNA,jnlpba
kappa b dna-binding protein,protein,jnlpba
rel oncogene,DNA,jnlpba
cell-cycle motifs,DNA,jnlpba
human t cells,cell_type,jnlpba
968 amino acids,protein,jnlpba
amino-terminal domain,protein,jnlpba
oncogene rel,DNA,jnlpba
dorsal,DNA,jnlpba
carboxy-terminal domain,protein,jnlpba
putative human oncogene bcl-3,DNA,jnlpba
ankyrin protein,protein,jnlpba
kappa b binding site,DNA,jnlpba
inducible genes,DNA,jnlpba
human lymphocytes,cell_type,jnlpba
endothelial cells,cell_type,jnlpba
human mononuclear leukocytes,cell_type,jnlpba
sodium/proton exchanger,protein,jnlpba
membrane receptors,protein,jnlpba
mineralocorticoid receptors,protein,jnlpba
"extrarenal , nonepithelial mineralocorticoid receptors",protein,jnlpba
malignant soft tissue tumors,cell_type,jnlpba
immunostained tumor cells,cell_type,jnlpba
cyclic amp-dependent protein kinases,protein,jnlpba
interleukin-1,protein,jnlpba
interleukin-1 ( il-1 ) -responsive cells,cell_line,jnlpba
il-1-induced gene,DNA,jnlpba
kappa immunoglobulin enhancer,DNA,jnlpba
human immunodeficiency virus long terminal repeat,DNA,jnlpba
protein kinase c,protein,jnlpba
il-1,protein,jnlpba
responsive cell types,cell_type,jnlpba
epstein-barr virus ( ebv ) ori1yt enhancer,DNA,jnlpba
ebv transcription factors r and z,protein,jnlpba
epstein-barr virus dr promoter,DNA,jnlpba
psti repeats,DNA,jnlpba
upstream region,DNA,jnlpba
eb1 ( z ),protein,jnlpba
bzlf1-encoded transcription factor,protein,jnlpba
enhancer,DNA,jnlpba
b,DNA,jnlpba
domain b,DNA,jnlpba
b-cell-specific eb1-responsive element,DNA,jnlpba
eb1,protein,jnlpba
r,protein,jnlpba
ebv early product,protein,jnlpba
open reading frame brlf1,DNA,jnlpba
r-responsive element,DNA,jnlpba
hela cells,cell_line,jnlpba
eb1-responsive b-cell-specific element,DNA,jnlpba
eb1-binding site,DNA,jnlpba
zre-b,DNA,jnlpba
r-responsive enhancer region,DNA,jnlpba
b domain,DNA,jnlpba
r- inducible enhancer,DNA,jnlpba
dr enhancer,DNA,jnlpba
rabbit beta-globin promoter,DNA,jnlpba
protoenhancers,DNA,jnlpba
overlapping palindromes,DNA,jnlpba
palindrome,DNA,jnlpba
"3 , 5 , 3'-triiodothyronine receptors",protein,jnlpba
t3r,protein,jnlpba
circulating human lymphocytes,cell_type,jnlpba
circulating lymphocytes,cell_type,jnlpba
nuclear t3r,protein,jnlpba
lymphocyte cell lines,cell_line,jnlpba
"1 alpha , 25-dihydroxyvitamin d3 receptor",protein,jnlpba
t-lymphocyte cell line,cell_line,jnlpba
s-lb1,cell_line,jnlpba
"chick intestinal 1 , 25 ( oh ) 2d3 receptor",protein,jnlpba
cell lines,cell_line,jnlpba
vdr,protein,jnlpba
receptor,protein,jnlpba
cultured cells,cell_line,jnlpba
"functional 1 , 25 ( oh ) 2d3 receptor",protein,jnlpba
cell line,cell_line,jnlpba
a1-vdr,cell_line,jnlpba
25 ( oh ) d3-24-hydroxylase,protein,jnlpba
ro-vdr,cell_line,jnlpba
control cell line,cell_line,jnlpba
a1-vdr cells,cell_line,jnlpba
"1 , 25 ( oh ) 2d3 receptor",protein,jnlpba
ro-vdr cells,cell_line,jnlpba
"unoccupied 1 , 25 ( oh ) 2d3 receptor",protein,jnlpba
mrnas,RNA,jnlpba
c-myc oncogene,DNA,jnlpba
human myeloid leukemic cells,cell_line,jnlpba
ap-1,protein,jnlpba
genes,DNA,jnlpba
hl-60 cells,cell_line,jnlpba
c-jun transcripts,RNA,jnlpba
untreated hl-60 leukemic cells,cell_line,jnlpba
human u-937,cell_line,jnlpba
thp-1 monocytic leukemia cells,cell_line,jnlpba
untreated hl-60 cells,cell_line,jnlpba
c-jun rna,RNA,jnlpba
tpa-treated hl-60 cells,cell_line,jnlpba
steroid receptors,protein,jnlpba
adenovirus early region 3 promoter,DNA,jnlpba
nf-kappa b binding motifs,DNA,jnlpba
lymphoid cells,cell_type,jnlpba
viral control elements,DNA,jnlpba
cellular factors,protein,jnlpba
adenovirus early region 3 ( es ) gene products,protein,jnlpba
class i mhc antigens,protein,jnlpba
e3 promoter,DNA,jnlpba
novel domains,DNA,jnlpba
l1,DNA,jnlpba
l2,DNA,jnlpba
cellular factor nf-kappa b,protein,jnlpba
e3 constructs,DNA,jnlpba
chloramphenicol acetyltransferase gene,DNA,jnlpba
distal nf-kappa b motif,DNA,jnlpba
proximal nf-kappa b motif,DNA,jnlpba
l2 domains,DNA,jnlpba
primary sequence,DNA,jnlpba
defensin,protein,jnlpba
phop virulence regulon,DNA,jnlpba
phop/phoq two-component virulence regulon,DNA,jnlpba
purified defensins,protein,jnlpba
np-1,protein,jnlpba
np-2,protein,jnlpba
regulatory pair,DNA,jnlpba
phop,DNA,jnlpba
transcriptional activator,DNA,jnlpba
phoq,DNA,jnlpba
membrane sensor kinase,protein,jnlpba
periplasmic domain,protein,jnlpba
phoq protein,protein,jnlpba
cationic proteins,protein,jnlpba
phop,protein,jnlpba
phoq gene product,protein,jnlpba
phoq,protein,jnlpba
defensins,protein,jnlpba
pag ( phop-activated gene ) product,protein,jnlpba
np-5,protein,jnlpba
hnp-1,protein,jnlpba
pag,DNA,jnlpba
phop-phoq regulon,protein,jnlpba
pagc,DNA,jnlpba
phop locus,DNA,jnlpba
phopc,protein,jnlpba
-phoq,DNA,jnlpba
human t-cell clone,cell_line,jnlpba
anti-cd3,protein,jnlpba
long terminal repeat,DNA,jnlpba
enhancer sequence,DNA,jnlpba
hiv enhancer-binding protein,protein,jnlpba
t-cell clones,cell_line,jnlpba
t-cell receptor complex,protein,jnlpba
hiv enhancer,DNA,jnlpba
interleukin 2,protein,jnlpba
cd3,protein,jnlpba
antibody to cd3,protein,jnlpba
cloned t cells,cell_line,jnlpba
lymphoblastoid t-cell lines,cell_line,jnlpba
tumoral t cells,cell_type,jnlpba
nf-kappa b complex,protein,jnlpba
"1 , 25-dihydroxyvitamin d3 receptors",protein,jnlpba
peripheral mononuclear cells,cell_type,jnlpba
pha-activated peripheral mononuclear cells,cell_line,jnlpba
active transcription factor creb,protein,jnlpba
camp response element binding protein,protein,jnlpba
mammalian cells,cell_type,jnlpba
transcription factor creb,protein,jnlpba
creb gene transcript,RNA,jnlpba
14-amino acid serine-rich insertion,protein,jnlpba
creb isoforms,protein,jnlpba
many cell types,cell_type,jnlpba
camp response element in vitro,DNA,jnlpba
creb proteins,protein,jnlpba
heterologous dna-binding domain,DNA,jnlpba
creb,protein,jnlpba
regulatory domain,protein,jnlpba
virion-associated regulatory protein,protein,jnlpba
vpr product,protein,jnlpba
vpr protein,protein,jnlpba
vpr,DNA,jnlpba
b-cell lineage-specific transcription factor,protein,jnlpba
b-cell-specific transcription factor,protein,jnlpba
bsap,protein,jnlpba
mammalian homolog,protein,jnlpba
sea urchin protein,protein,jnlpba
tsap,protein,jnlpba
promoters,DNA,jnlpba
tissue-specific late histone h2a-2 and h2b-2 genes,DNA,jnlpba
mammalian protein,protein,jnlpba
sea urchin binding sites,DNA,jnlpba
terminally differentiated plasma cells,cell_type,jnlpba
wild-type,DNA,jnlpba
mutant tsap-binding site,DNA,jnlpba
transfected b cells,cell_line,jnlpba
upstream promoter element,DNA,jnlpba
high-affinity binding site,DNA,jnlpba
regulatory regions,DNA,jnlpba
immunoglobulin and class ii major histocompatibility ( mhc ) genes,DNA,jnlpba
b-lymphoid-specific genes,DNA,jnlpba
octamer transcription factors,protein,jnlpba
cell type-specificity of immunoglobulin gene,DNA,jnlpba
antibodies,protein,jnlpba
b lymphocytes,cell_type,jnlpba
antibody-encoding genes,DNA,jnlpba
immunoglobulin ( ig ) genes,DNA,jnlpba
octamer sequence,DNA,jnlpba
promoter,DNA,jnlpba
ig genes,DNA,jnlpba
sequence motif,DNA,jnlpba
oct,protein,jnlpba
otf factors,protein,jnlpba
oct-1 protein,protein,jnlpba
oct-2a,protein,jnlpba
oct-2b,protein,jnlpba
type-specific oct factors,protein,jnlpba
oct-1,protein,jnlpba
oct-2 factors,protein,jnlpba
octamer factor variants,protein,jnlpba
primary transcript,RNA,jnlpba
endogenous ig heavy chain enhancer,DNA,jnlpba
ubiquitously active transcription factor,protein,jnlpba
transcriptional enhancer,DNA,jnlpba
immunoglobulin heavy chain constant region,DNA,jnlpba
immunoglobulin genes,DNA,jnlpba
enhancers,DNA,jnlpba
ig heavy chain enhancer,DNA,jnlpba
sequence motifs,DNA,jnlpba
specific transcription factors,protein,jnlpba
binding site,DNA,jnlpba
ig heavy chain enhancer components,DNA,jnlpba
sequence elements,DNA,jnlpba
e3 enhancer motif,DNA,jnlpba
ubiquitous transcription factor,protein,jnlpba
non-b cells,cell_type,jnlpba
transfected reporter gene,DNA,jnlpba
non-lymphoid cells,cell_type,jnlpba
nf-mue3,protein,jnlpba
cell-specific factors,protein,jnlpba
ubiquitous factors,protein,jnlpba
ubiquitously active factors,protein,jnlpba
e3 sequence motif,DNA,jnlpba
chromatin,DNA,jnlpba
ig heavy chain locus,DNA,jnlpba
tar,DNA,jnlpba
multiple regulatory elements,DNA,jnlpba
hiv ltr constructs,DNA,jnlpba
sp1,DNA,jnlpba
tata,DNA,jnlpba
tar regions,DNA,jnlpba
hiv ltrs,DNA,jnlpba
p24 gag protein,protein,jnlpba
enhancer motif,DNA,jnlpba
tar primary sequence,DNA,jnlpba
tar loop sequences,DNA,jnlpba
phorbol ester-treated jurkat cells,cell_line,jnlpba
phorbol ester-treated hela,cell_line,jnlpba
tar mutant constructs,DNA,jnlpba
enhancer region,DNA,jnlpba
tat gene,DNA,jnlpba
triiodothyronine receptors,protein,jnlpba
lymphocyte nuclear t3 receptor,protein,jnlpba
t3 nuclear receptor,protein,jnlpba
immediate early response genes,DNA,jnlpba
macrophage colony-stimulating factor,protein,jnlpba
normal human monocytes,cell_type,jnlpba
protooncogenes,DNA,jnlpba
"cytoskeletal , and extracellular matrix genes",DNA,jnlpba
growth factor,protein,jnlpba
macrophage-csf,protein,jnlpba
m-csf,protein,jnlpba
human monocytes,cell_type,jnlpba
resting cells,cell_type,jnlpba
c-jun,RNA,jnlpba
fibronectin receptor,RNA,jnlpba
actin mrna,RNA,jnlpba
c-jun gene,DNA,jnlpba
actin and fibronectin receptor mrna,RNA,jnlpba
myelomonocytic specific tyrosine kinase hck gene,DNA,jnlpba
hck,DNA,jnlpba
actin genes,DNA,jnlpba
csf,protein,jnlpba
nuclear factor,protein,jnlpba
kappa b elements,DNA,jnlpba
human immunodeficiency virus enhancer,DNA,jnlpba
lymphokine genes,DNA,jnlpba
interleukin-2,protein,jnlpba
mitogen-inducible dna-binding complexes,protein,jnlpba
kappa b complex,protein,jnlpba
nfat-1 complex,protein,jnlpba
interleukin-2 enhancer,DNA,jnlpba
mitogen,protein,jnlpba
phytohemagglutinin,protein,jnlpba
kappa b complexes,protein,jnlpba
tcf-1 alpha,protein,jnlpba
t-cell-specific transcription factor,protein,jnlpba
t-cell receptor c alpha gene enhancer,DNA,jnlpba
t-cell-specific factor,protein,jnlpba
human t-cell receptor,protein,jnlpba
tcr,protein,jnlpba
hiv-1 promoter,DNA,jnlpba
tcr alpha enhancer,DNA,jnlpba
tcr alpha gene,DNA,jnlpba
p56lck,DNA,jnlpba
cd3 delta,DNA,jnlpba
tcf-1 alpha binding motif,DNA,jnlpba
human tcr delta,DNA,jnlpba
tcr beta,DNA,jnlpba
57- to 53-kd proteins,protein,jnlpba
mature and immature t-cell lines,cell_line,jnlpba
jurkat,cell_line,jnlpba
ccrf-cem,cell_line,jnlpba
mature b cells,cell_line,jnlpba
jy,cell_line,jnlpba
namalwa,cell_line,jnlpba
nonlymphoid ( hela ) cell lines,cell_line,jnlpba
tcr alpha control region,DNA,jnlpba
tcf-1 alpha binding site,DNA,jnlpba
camp-response element,DNA,jnlpba
cre,DNA,jnlpba
t alpha 1 motif,DNA,jnlpba
lymphoid-specific protein,protein,jnlpba
tcf-2 alpha,protein,jnlpba
t-cell-specific enhancer,DNA,jnlpba
mature ( jurkat ) t-cell lines,cell_line,jnlpba
immature ( ccrf-cem ) t-cell lines,cell_line,jnlpba
tandem enhancer repeats,DNA,jnlpba
heterologous promoter,DNA,jnlpba
t alpha 1,protein,jnlpba
tandem ap-1-binding sites,DNA,jnlpba
human beta-globin dominant control region,DNA,jnlpba
inducible enhancer,DNA,jnlpba
erythroid cells,cell_type,jnlpba
18-bp dna segment,DNA,jnlpba
dominant control,DNA,jnlpba
locus-activating region,DNA,jnlpba
k562 human erythroleukemia cells,cell_line,jnlpba
gamma-globin promoter,DNA,jnlpba
/luciferase,protein,jnlpba
enhancerless construct,DNA,jnlpba
high molecular weight complex,protein,jnlpba
ap-1 sites,DNA,jnlpba
jun and fos families,DNA,jnlpba
tandem ap-1 consensus sequences,DNA,jnlpba
novel factor,protein,jnlpba
immunoglobulin heavy-chain promoter,DNA,jnlpba
lymphoid cell-specific factor,protein,jnlpba
otf2,protein,jnlpba
mopc 141 immunoglobulin heavy-chain gene,DNA,jnlpba
octamer element,DNA,jnlpba
immunoglobulin heavy- and light-chain genes,DNA,jnlpba
otf1,protein,jnlpba
mopc 141 promoter,DNA,jnlpba
dnase i,protein,jnlpba
heavy-chain promoter,DNA,jnlpba
heptamer element,DNA,jnlpba
purified factors,protein,jnlpba
octamer and heptamer sites,DNA,jnlpba
regulatory element,DNA,jnlpba
n element,DNA,jnlpba
ntf,protein,jnlpba
previously described proteins,protein,jnlpba
cognate dna elements,DNA,jnlpba
transcriptional activator,protein,jnlpba
granulocyte-macrophage colony-stimulating factor gene,DNA,jnlpba
granulocyte-macrophage colony-stimulating factor,protein,jnlpba
tax1,protein,jnlpba
transactivating protein,protein,jnlpba
interleukin-2 receptor alpha-chain and interleukin-2 genes,DNA,jnlpba
promoter elements,DNA,jnlpba
inducible transcription factor,protein,jnlpba
nf-kappa b-like factor,protein,jnlpba
gm-csf gene,DNA,jnlpba
nf-kappa b transcription factor,protein,jnlpba
short promoter region,DNA,jnlpba
nf-kappa b-binding motifs,DNA,jnlpba
human nf-kappa b,protein,jnlpba
jurkat t cells,cell_line,jnlpba
gm-csf promoter element,DNA,jnlpba
positions -82 to -91,DNA,jnlpba
gm-csf promoter,DNA,jnlpba
biologically functional kappa b motif,DNA,jnlpba
kappa b-like motifs,DNA,jnlpba
positions -98 to -108,DNA,jnlpba
human tonsillar t-lymphocytes,cell_type,jnlpba
phytohaemagglutinin,protein,jnlpba
pha,protein,jnlpba
-pha,protein,jnlpba
major histocompatibility complex ( mhc ) haplotypes,protein,jnlpba
t-cell receptors,protein,jnlpba
alpha-helices,protein,jnlpba
class i,protein,jnlpba
immunophilin,protein,jnlpba
antigen receptor,protein,jnlpba
il-2,protein,jnlpba
immunosuppressant binding protein,protein,jnlpba
fk506 binding protein,protein,jnlpba
fkbp,protein,jnlpba
nf-at,protein,jnlpba
il-2 gene,DNA,jnlpba
peptidyl-prolyl amide bond,protein,jnlpba
human monocyte pdgf ( b ) mrna,RNA,jnlpba
"c-fos , c-jun , and egr2 mrna",RNA,jnlpba
circulating monocyte,cell_type,jnlpba
tissue macrophage,cell_type,jnlpba
growth factors,protein,jnlpba
mrna,RNA,jnlpba
platelet-derived growth factor b subunit,protein,jnlpba
pdgf [ b ],protein,jnlpba
transforming growth factor-beta,protein,jnlpba
tgf-beta,protein,jnlpba
pdgf ( b ) mrna,RNA,jnlpba
tgf-beta mrna,RNA,jnlpba
adherent monocytes,cell_type,jnlpba
early growth response genes,DNA,jnlpba
c-fos,DNA,jnlpba
"c-fos , c-jun , egr2 , and pdgf ( b ) mrna",RNA,jnlpba
egr2,DNA,jnlpba
pdgf ( b ),protein,jnlpba
t-cell antigen receptor,protein,jnlpba
individual viable cells,cell_type,jnlpba
beta-gal,protein,jnlpba
nf-at-binding site,DNA,jnlpba
lacz gene,DNA,jnlpba
cloned stably transfected jurkat t cells,cell_line,jnlpba
transcription complexes,protein,jnlpba
epstein-barr virus ( ebv ) bmrf1 promoter,DNA,jnlpba
early antigen,protein,jnlpba
ea-d,protein,jnlpba
ebv transactivators,protein,jnlpba
brlf1,protein,jnlpba
bzlf1,protein,jnlpba
epstein-barr virus early antigen diffuse component,protein,jnlpba
virus dna,DNA,jnlpba
bmrf1,DNA,jnlpba
immediate-early viral transactivators,protein,jnlpba
z,protein,jnlpba
epithelial cells,cell_type,jnlpba
ea-d promoter,DNA,jnlpba
z transactivator,protein,jnlpba
ap-1 binding site,DNA,jnlpba
upstream sequences,DNA,jnlpba
z/r,protein,jnlpba
ap-1 site,protein,jnlpba
ea-d ( bmrf1 ) promoter,DNA,jnlpba
human t-cell fk506-binding protein,protein,jnlpba
peptidylprolyl cis-trans isomerase,protein,jnlpba
cyclophilin,protein,jnlpba
cyclosporin a-binding protein,protein,jnlpba
cellular binding protein,protein,jnlpba
cdna,DNA,jnlpba
bovine fkbp,protein,jnlpba
mrna species,RNA,jnlpba
human fkbp cdna,DNA,jnlpba
poly ( a ) + rnas,RNA,jnlpba
placental cells,cell_type,jnlpba
leukocytes,cell_type,jnlpba
jurkat leukemic t cells,cell_line,jnlpba
fkbp mrna,RNA,jnlpba
human genomic dna,DNA,jnlpba
restriction enzymes,protein,jnlpba
cyclophilin gene,DNA,jnlpba
mammalian genome,DNA,jnlpba
lymphoid-specific enhancer element,DNA,jnlpba
immunoglobulin heavy-chain gene,DNA,jnlpba
enhancer elements,DNA,jnlpba
octamer ( octa ) -nucleotide motif,DNA,jnlpba
immunoglobulin heavy-chain ( igh ) gene,DNA,jnlpba
putative additional lymphoid-specific transcription factor,protein,jnlpba
nf-microb,protein,jnlpba
murine igh enhancer,DNA,jnlpba
nf-microb-binding site,DNA,jnlpba
igh enhancer,DNA,jnlpba
b-cell lineage,cell_type,jnlpba
nonlymphoid cells,cell_type,jnlpba
octa site,DNA,jnlpba
microb,DNA,jnlpba
octa sites,DNA,jnlpba
e3 site,DNA,jnlpba
70-base-pair fragment,DNA,jnlpba
microb motif,DNA,jnlpba
