term,annotation,df
group contribution approach,Process,scienceie
saft-γ,Process,scienceie
closed form eos,Process,scienceie
beads,Material,scienceie
isotropic molecule,Material,scienceie
simple fluids,Material,scienceie
mie potential,Process,scienceie
"(m,n) potential",Process,scienceie
lj potential,Process,scienceie
bead,Material,scienceie
l-cysteine,Material,scienceie
empirical force fields,Process,scienceie
hartree–fock calculations,Process,scienceie
spectral assignments,Process,scienceie
isolated molecule approximation,Process,scienceie
purine,Material,scienceie
study of the solid state vibrational spectra,Task,scienceie
isolated molecule and periodic calculations,Process,scienceie
tautomers,Material,scienceie
ions,Material,scienceie
hydrogen,Material,scienceie
periodic calculations,Process,scienceie
provide a complete assignment of the vibrational spectra of l-cysteine,Task,scienceie
computational and experimental methods,Process,scienceie
molecular dynamics,Process,scienceie
complete primitive cell,Material,scienceie
glass-ceramic wasteforms,Material,scienceie
molybdenum-99,Material,scienceie
crystalline,Material,scienceie
titanate pyrochlore,Material,scienceie
cauti2o7,Material,scienceie
immobilisation of the primary waste stream from production of molybdenum-99,Task,scienceie
boron,Material,scienceie
sodium,Material,scienceie
glass,Material,scienceie
na2albsi6o16,Material,scienceie
glass composition,Material,scienceie
alumina,Material,scienceie
zirconolite glass-ceramics,Material,scienceie
glass matrix,Material,scienceie
investigate the role played by glass composition in controlling crystalline phase stability,Task,scienceie
mineral albite,Material,scienceie
naalsi3o8,Material,scienceie
albite,Material,scienceie
na2o–al2o3–b2o3–sio2,Material,scienceie
na2al1+xb1–xsi6o16,Material,scienceie
non-classical glass matrix,Material,scienceie
glass network,Material,scienceie
hanford k-basin sludges,Material,scienceie
problem of cell tracking,Task,scienceie
mathematical model,Process,scienceie
experimental image data sets,Material,scienceie
geometric evolution law model,Process,scienceie
cell tracking problem,Task,scienceie
pde constrained optimisation problem,Task,scienceie
algorithm,Process,scienceie
theoretical and computational framework,Process,scienceie
multi-cell image data sets,Material,scienceie
raw image data sets,Material,scienceie
image data sets,Material,scienceie
introduce our approach to cell tracking,Task,scienceie
phase field framework,Process,scienceie
our model,Process,scienceie
segmentation,Process,scienceie
rp re-encounter probability,Process,scienceie
improve the performance of chemical devices,Task,scienceie
control scheme,Process,scienceie
model chemical magnetometer,Material,scienceie
chemical magnetometer,Material,scienceie
magnetic field,Process,scienceie
singlet products,Material,scienceie
chemical yield,Material,scienceie
"gs(b,t)≡∂fs(b,t)∂b",Process,scienceie
instantaneous magnetic sensitivity,Process,scienceie
magnetic sensitivity,Process,scienceie
magnetic field intensity,Process,scienceie
singlet yield,Material,scienceie
α,Process,scienceie
isotropic hyperfine coupling,Process,scienceie
b,Process,scienceie
nuclear spins,Process,scienceie
realization of the radical pair,Process,scienceie
electron spin,Process,scienceie
hyperfine interactions,Process,scienceie
determining the magnetic field direction through anisotropic hyperfine interactions,Task,scienceie
anisotropic hyperfine interactions,Process,scienceie
analogous configuration,Process,scienceie
chemical compass,Task,scienceie
"(2)λs(b)≡∂φs(b)∂b=∫0∞pre(t)gs(b,t)dt",Process,scienceie
h=-γeb(s1(z)+s2(z))+|γe|αs→2·i→,Process,scienceie
spin-1 nucleus,Material,scienceie
spin-1/2 nucleus,Material,scienceie
chemical devices,Material,scienceie
magnetic field direction,Process,scienceie
separating the measurement of dni from that of the diffuse irradiance in the immediate vicinity of the sun,Task,scienceie
"study of the geometry of pyrheliometers, and how that geometry interacted with circumsolar radiance",Task,scienceie
"improve the accuracy of pyrheliometric measurements, including estimates of the circumsolar enhancement",Task,scienceie
pyrheliometers,Material,scienceie
h-atom photodetachment,Process,scienceie
intermediate radicals,Material,scienceie
reducing agents,Material,scienceie
pyridinyl radical,Material,scienceie
pyh,Material,scienceie
reducing agent,Material,scienceie
formaldehyde,Material,scienceie
formic acid,Material,scienceie
methanol,Material,scienceie
catalyzers,Material,scienceie
"ach, aoh and bah radicals",Material,scienceie
pyridinyl,Material,scienceie
acridinyl,Material,scienceie
radicals,Material,scienceie
reductant,Material,scienceie
reduce carbon dioxide in dark reactions,Task,scienceie
value of the measuring resistor,Process,scienceie
rm,Process,scienceie
ni-usb 6009 analog-to-digital converter,Material,scienceie
4.7kω resistor,Material,scienceie
saturated calomel electrode,Material,scienceie
electrochemical noise signal,Process,scienceie
in-house developed software,Material,scienceie
dataset,Material,scienceie
obtain a single value of potential,Task,scienceie
accurate recording of the potential noise in the frequencies of interest,Task,scienceie
corrosion process,Process,scienceie
value of noise resistance,Process,scienceie
validate this conclusion,Task,scienceie
pair of nominally identical specimens,Material,scienceie
theoretical analysis,Task,scienceie
information dissemination in transportation systems,Task,scienceie
simulations,Process,scienceie
investigate the impact of information on the global network performance,Process,scienceie
analyse what is the effect of real time information dissemination,Task,scienceie
massive use of real-time information,Process,scienceie
building more intelligent traffic control mechanisms,Task,scienceie
predict corrosion behaviour,Task,scienceie
volta potential differences in microstructure,Process,scienceie
volta potential,Process,scienceie
ψ,Process,scienceie
potential difference,Process,scienceie
electrochemical behaviour of a metal,Process,scienceie
scanning kelvin probe force microscopy,Process,scienceie
skpfm,Process,scienceie
detection of local ewf,Task,scienceie
volta potential differences,Task,scienceie
δψ,Task,scienceie
atomic force microscopy tip,Material,scienceie
pt coated,Material,scienceie
metal surface,Material,scienceie
property of a metal surface,Process,scienceie
measureable quantity,Process,scienceie
understand electrochemical processes,Task,scienceie
larger (δψ) indicate increased surface reactivity,Process,scienceie
volta potential differences,Process,scienceie
dry air,Material,scienceie
free corrosion potential,Process,scienceie
ecorr,Process,scienceie
metal,Material,scienceie
ambient air,Material,scienceie
electrochemical processes,Process,scienceie
proper inclusion of these interactions,Task,scienceie
segment synchronization after every iteration,Process,scienceie
minimize simulation errors,Task,scienceie
segments are synchronized after every iteration,Process,scienceie
recalculation of the interaction potential,Process,scienceie
adding dipole contributions,Process,scienceie
interaction potential,Process,scienceie
gpgpu architectures,Material,scienceie
processors,Material,scienceie
parallel computers,Material,scienceie
corrects the current potential,Process,scienceie
parameterizations,Process,scienceie
flow,Process,scienceie
highest posterior-density,Process,scienceie
hpd,Process,scienceie
probability-box,Material,scienceie
p-box,Material,scienceie
boundary-layer flow,Process,scienceie
boundary-layer flows,Process,scienceie
flows,Process,scienceie
modelling proximity across flows,Process,scienceie
splitting the calibrations and then merging the outcomes,Process,scienceie
analyze the growth mechanism,Task,scienceie
geometrical considerations,Process,scienceie
single angular direction,Process,scienceie
vapor particles,Material,scienceie
film surface,Material,scienceie
surface shadowing mechanisms,Process,scienceie
aggregation of vapor particles onto a surface,Process,scienceie
continuum approaches,Process,scienceie
film,Material,scienceie
atom,Material,scienceie
analytic model,Process,scienceie
surface diffusion,Process,scienceie
thin films,Material,scienceie
nanocolumns,Material,scienceie
analytical semi-empirical model,Process,scienceie
quantitatively describe the aggregation of columnar structures,Task,scienceie
groove seeded substrate,Material,scienceie
deposition flux,Process,scienceie
geometrical factors,Process,scienceie
geometrical features,Process,scienceie
nanocolumns,Process,scienceie
prediction of the relation between the incident angle of the deposition flux and the tilt angle of the columns,Task,scienceie
development of cg models for long n-alkanes,Task,scienceie
saft-γ mie formalism,Process,scienceie
n-decane,Material,scienceie
n-c10h22,Material,scienceie
n-eicosane,Material,scienceie
n-c20h42,Material,scienceie
homonuclear chains of tangent mie spherical cg segments,Material,scienceie
homologous series of n-alkanes,Material,scienceie
n-decane molecule,Material,scienceie
alternative cg mapping,Process,scienceie
n-alkanes,Material,scienceie
n-c6h14,Material,scienceie
n-c9h20,Material,scienceie
n-c12h26,Material,scienceie
n-c15h32,Material,scienceie
n-c18h38,Material,scienceie
description of the thermodynamic properties,Task,scienceie
cg alkyl beads,Material,scienceie
mie (15–6) potential,Process,scienceie
saft-γ mie procedure,Process,scienceie
saturated-liquid density,Process,scienceie
vapour pressure,Process,scienceie
mie segments,Material,scienceie
alkyl carbon backbone atoms,Material,scienceie
hydrogen atoms,Material,scienceie
n-alkanes chains,Material,scienceie
carbon units,Material,scienceie
cg beads,Material,scienceie
dilute flows,Material,scienceie
hard sphere and soft sphere models,Process,scienceie
solve the particle equation of motion,Task,scienceie
hard sphere model,Process,scienceie
soft sphere model,Process,scienceie
collision model,Process,scienceie
hard and soft sphere models,Process,scienceie
smooth walls,Material,scienceie
rough walls,Material,scienceie
rough wall treatment,Task,scienceie
soft sphere implementation,Process,scienceie
virtual walls,Material,scienceie
wall,Material,scienceie
rough wall,Material,scienceie
hard sphere rough wall treatment,Task,scienceie
random wall,Material,scienceie
soft sphere collision,Process,scienceie
hard sphere collisions,Process,scienceie
fully-coupled numerical framework,Process,scienceie
two-phase flows,Process,scienceie
surface tension,Process,scienceie
fully-coupled framework,Process,scienceie
compare the influence,Task,scienceie
surface tension treatment,Process,scienceie
time-step restrictions resulting from capillary waves,Process,scienceie
restrictions on the numerical time-step resulting from capillary waves,Process,scienceie
numerical treatment of surface tension,Process,scienceie
capillary waves,Material,scienceie
treatment of surface tension,Task,scienceie
spatiotemporal sampling of capillary waves,Task,scienceie
applied numerical methodology,Process,scienceie
uranium carbide,Material,scienceie
fuel kernel,Material,scienceie
pebble bed reactors,Material,scienceie
uranium dioxide,Material,scienceie
generation iv nuclear systems,Material,scienceie
mixed uranium–plutonium carbides,Material,scienceie
"(u, pu) c",Material,scienceie
gas fast reactors,Material,scienceie
gfr,Material,scienceie
uco,Material,scienceie
very high temperature reactor,Material,scienceie
vhtr,Material,scienceie
oxides,Material,scienceie
carbides,Material,scienceie
fuel,Material,scienceie
uc2,Material,scienceie
uo2 fuel,Material,scienceie
uo2+x,Material,scienceie
pyrocarbon coating layer,Material,scienceie
xc,Material,scienceie
xco,Material,scienceie
burnup,Process,scienceie
actinide,Material,scienceie
sodium trimer,Material,scienceie
na3,Material,scienceie
alkali trimers,Material,scienceie
pes scans,Process,scienceie
dft,Process,scienceie
complete active space scf,Process,scienceie
configuration interaction approach,Process,scienceie
valence bond wave functions,Process,scienceie
density functional theory,Process,scienceie
jt-distorted systems,Process,scienceie
b-x transition,Process,scienceie
state-averaged multi-reference configuration interaction,Process,scienceie
derive more accurate non-adiabatic coupling terms,Task,scienceie
photoabsorption spectra,Material,scienceie
obtuse isosceles geometry,Process,scienceie
linear conformation,Process,scienceie
hydrides,Material,scienceie
zirconium,Material,scienceie
cladding,Process,scienceie
hydride,Material,scienceie
pellet cladding mechanical interaction,Process,scienceie
pcmi,Process,scienceie
delayed hydride cracking,Process,scienceie
dhc,Process,scienceie
thermal expansion,Process,scienceie
fuel pellets,Material,scienceie
cracking phenomenon,Process,scienceie
hydrogen diffusion,Process,scienceie
local hydride growth,Task,scienceie
hydrostatic tensile stress raiser,Process,scienceie
cladding,Material,scienceie
surfactant,Material,scienceie
surface active agent,Material,scienceie
compounds which improve the dispersability,Material,scienceie
metallic material,Material,scienceie
corrosion protection,Task,scienceie
improve the dispersability,Task,scienceie
ci,Material,scienceie
acid,Material,scienceie
