term,annotation,df
Scottish Executive,person,science_dev
Arthur Miller,person,science_dev
Tennessee Williams,person,science_dev
Otto Scherzer,person,science_dev
Georg Joos,person,science_dev
Otto Heckmann,person,science_dev
Virendranath Chattopadhyaya,person,science_dev
Har Dayal,person,science_dev
M.P.T. Acharya,person,science_dev
Vinayak Damodar Savarkar,person,science_dev
Gerald Ford,person,science_dev
Dwight Eisenhower,person,science_dev
Dave Rudabaugh,person,science_dev
Pat Garrett,person,science_dev
Shotgun John Collins,person,science_dev
"Wilkinson , S.",person,science_dev
"Liew , C.",person,science_dev
"Mackay , J.",person,science_dev
"Salleh , H.",person,science_dev
"Withers , S.",person,science_dev
"McLeod , M.",person,science_dev
C.W. Leadbeater,person,science_dev
Alice A. Bailey,person,science_dev
Sanat Kumara,person,science_dev
A.E. Powell,person,science_dev
Elizabeth Clare Prophet,person,science_dev
Sam Anderson,person,science_dev
L. Scott Caldwell,person,science_dev
Francois Chau,person,science_dev
Fionnula Flanagan,person,science_dev
Sonya Walger,person,science_dev
John Terry,person,science_dev
Low,person,science_dev
Sam Shepard,person,science_dev
Art Direction,person,science_dev
Geoffrey Kirkland,person,science_dev
Richard Lawrence,person,science_dev
W. Stewart Campbell,person,science_dev
Peter R. Romero,person,science_dev
Set Decoration,person,science_dev
George R. Nelson,person,science_dev
Caleb Deschanel,person,science_dev
NeNe Leakes,person,science_test
Nicki Minaj,person,science_test
Rihanna,person,science_test
Solange Knowles,person,science_test
Beyoncé,person,science_test
Sharkeisha,person,science_test
Mariah Carey,person,science_test
Mark C Lidwill,person,science_test
Richard Harrison,person,science_test
J. D. H. Slater,person,science_test
A. Grabham,person,science_test
Tyas,person,science_test
Lutz D. Schmadel,person,science_test
Rachel,person,science_test
Bonaparte,person,science_test
Gustav IV Adolf,person,science_test
von Fersen,person,science_test
Flexner,person,science_test
Julie Gardner,person,science_test
Phil Collinson,person,science_test
Collinson,person,science_test
Steven Moffat,person,science_test
Piers Wenger,person,science_test
Gardner,person,science_test
Jeffrey Lieber,person,science_test
J. J. Abrams,person,science_test
Damon Lindelof,person,science_test
Abrams,person,science_test
Grissom,person,science_test
Lynn Ahrens,person,science_test
Stephen Flahertyin,person,science_test
Mark Harmon,person,science_test
John Mese,person,science_test
Eisele,person,science_test
Fredric Lehne,person,science_test
Cunningham,person,science_test
Max Wright,person,science_test
Wendt,person,science_test
Shenton,person,science_test
Ellis Hillman,person,science_test
Catherine Zeta-Jones,person,science_test
Velma Kelly,person,science_test
Susan Misner,person,science_test
Liz,person,science_test
Denise Faye,person,science_test
Annie,person,science_test
Deidre Goodwin,person,science_test
June,person,science_test
Ekaterina Shchelkanova,person,science_test
Katalin Helinszki,person,science_test
Hunyak,person,science_test
Mýa,person,science_test
Mona,person,science_test
Simon Kress,person,science_test
Barbara Mandrell,person,science_test
Loretta Lynn,person,science_test
Taylor Swift,person,science_test
Al-Farabi,person,science_test
Aristotle,person,science_test
Alfarabi,person,science_test
Galen,person,science_test
Daniel Loxton,person,science_test
Clark Gable,person,science_test
Spencer Tracy,person,science_test
Yunjin Kim,person,science_test
Sun-Hwa Kwon,person,science_test
Daniel Dae Kim,person,science_test
Jin-Soo Kwon,person,science_test
Michael Wisher,person,science_test
Terry Molloy,person,science_test
CeeLo Green,person,science_test
Mark Ronson,person,science_test
Sailor V. Artemis,person,science_test
Hubert Wilkins,person,science_test
Lincoln Ellsworth,person,science_test
William Randolph Hearst,person,science_test
Siemens brothers,person,science_test
Marquis of Salisbury,person,science_test
Indiana University,university,ai_dev
Stanford University,university,ai_dev
Rajabazar Science College,university,ai_dev
University of Calcutta,university,ai_dev
Indian Statistical Institute,university,ai_dev
Imperial College,university,ai_dev
University of London,university,ai_dev
universities of Newcastle,university,ai_dev
Surrey,university,ai_dev
Tel Aviv University,university,ai_dev
Simon Fraser University,university,ai_dev
University of Tromsø,university,ai_dev
University of Toronto,university,ai_dev
CMU,university,ai_dev
Imperial Academy of Sciences and Arts,university,ai_dev
University of North Sumatra,university,ai_dev
Indonesian Christian University,university,ai_dev
Padjadjaran University,university,ai_dev
Jenderal Soedirman University,university,ai_dev
Muhammadiyah University,university,ai_dev
University of Reading,university,ai_dev
Massachusetts Institute of Technology,university,ai_dev
Harvard,university,ai_dev
Columbia,university,ai_dev
Bar-Ilan University,university,ai_dev
Harvard University,university,ai_dev
Vrije Universiteit Brussel,university,ai_dev
Duke,university,ai_dev
Stanford,university,ai_dev
KTH Royal Institute of Technology,university,ai_dev
Washington University School of Medicine,university,ai_dev
UCSD,university,ai_dev
Yale University,university,ai_dev
University of Freiburg,university,ai_dev
Bosch,university,ai_dev
Georgia Tech,university,ai_dev
KU Leuven,university,ai_dev
MIT,university,ai_dev
Technical University of Munich,university,ai_dev
UC Berkeley,university,ai_dev
U Penn,university,ai_dev
USC,university,ai_dev
University of Tokyo,university,ai_dev
Georgia Institute of Technology,university,ai_dev
University of Edinburgh School of Informatics,university,ai_dev
Carnegie Mellon University,university,ai_dev
Human-Computer Interaction Institute,university,ai_dev
Robotics Institute,university,ai_dev
Entertainment Technology Center,university,ai_dev
KAIST,university,ai_dev
Moscow State University,university,ai_dev
Collège de France,university,ai_test
Penn,university,ai_test
University of California at Berkeley,university,ai_test
University of Twente,university,ai_test
Cambridge University,university,ai_test
Hebrew University,university,ai_test
École pratique des hautes études,university,ai_test
École Polytechnique,university,ai_test
John Jay College of Criminal Justice,university,ai_test
B.M.S. College of Engineering,university,ai_test
Bangalore University,university,ai_test
Drexel University,university,ai_test
University of Wisconsin-Madison,university,ai_test
University of Edinburgh,university,ai_test
Nagoya University,university,ai_test
University of Debrecen,university,ai_test
Eötvös Loránd University,university,ai_test
University of Konstanz,university,ai_test
University of Salzburg,university,ai_test
Samarkand State University,university,ai_test
Brown University,university,ai_train
MPI Saarbruecken,university,ai_train
"University of California , San Diego",university,ai_train
École Centrale Paris,university,ai_train
ETH Zurich,university,ai_train
National University of Sciences and Technology,university,ai_train
NUST,university,ai_train
"University of California , Irvine",university,ai_train
University of Groningen,university,ai_train
Tokyo Institute of Technology,university,ai_train
Cambridge,university,ai_train
University of Padua,university,ai_train
Delft University of Technology,university,ai_train
Nippon Telegraph and Telephone,university,ai_train
NTT,university,ai_train
Massachusetts,university,ai_train
University of Nice Sophia Antipolis,university,ai_train
École des ponts ParisTech,university,ai_train
Rutgers University,university,ai_train
University of Houston,university,ai_train
U.S. Air Force Institute of Technology,university,science_dev
Technische Hochschule Dresden,university,science_dev
University of São Paulo,university,science_dev
University of Copenhagen,university,science_dev
Humboldt University of Berlin,university,science_dev
University of Strasbourg,university,science_dev
"UCSI University , Sarawak Campus",university,science_dev
University College of Technology Sarawak,university,science_dev
UCTS,university,science_dev
Tunku Abdul Rahman University College ( Sabah campus ),university,science_dev
International University College Of Technology Twintech ( Sabah campus ),university,science_dev
Open University Malaysia ( Sabah campus ),university,science_dev
University of Pisa,university,science_dev
Scuola Normale Superiore di Pisa,university,science_dev
Deutsche Akademie of Munich,university,science_dev
Berkeley,university,science_dev
Oak Ridge Associated Universities,university,science_dev
University of Tennessee,university,science_dev
University of Paris,university,science_dev
University of Vienna,university,science_dev
University of Kraków,university,science_dev
University of Göttingen,university,science_dev
College of the Mainland,university,science_dev
Galveston College,university,science_dev
University of Chicago,university,science_dev
Rockefeller University,university,science_dev
University of Nairobi,university,science_dev
University of Lausanne,university,science_dev
University of Hamburg,university,science_dev
University of Sassari,university,science_dev
Sapienza University of Rome,university,science_dev
Weizmann Institute of Science,university,science_dev
Loop College,university,science_dev
Princeton University,university,science_dev
Chinese University of Hong Kong,university,science_dev
Technical University of Berlin,university,science_dev
Kobe University,university,science_dev
Kobe Institute of Computing,university,science_dev
Konan University,university,science_dev
National Southeastern University,university,science_dev
National Central University,university,science_dev
Nanjing University,university,science_dev
Massey University,university,science_dev
University of Auckland,university,science_dev
Victoria University of Wellington,university,science_dev
University of Otago,university,science_dev
University of Canterbury,university,science_dev
Boston University,university,science_dev
Tufts University,university,science_dev
University of Massachusetts Medical School,university,science_dev
Charité - Universitätsmedizin Berlin,university,science_dev
University of Zurich,university,science_dev
WCSU,university,science_dev
CSU,university,science_dev
Connecticut State Colleges & Universities,university,science_dev
CSCU,university,science_dev
Eastern Connecticut State University,university,science_dev
Southern and Central Connecticut state universities,university,science_dev
Kwame Nkrumah University of Science and Technology,university,science_dev
Calvin College,university,science_dev
Dordt College,university,science_dev
Redeemer University College,university,science_dev
Covenant College,university,science_dev
University Health Network,university,science_dev
Oxford,university,science_dev
Manchester,university,science_dev
Louvain,university,science_dev
Uppsala University,university,science_dev
Lyon,university,science_dev
National and Kapodistrian University of Athens,university,science_dev
Dublin,university,science_dev
Edinburgh,university,science_dev
Montreal,university,science_dev
Liverpool,university,science_dev
Brussels,university,science_dev
Sheffield,university,science_dev
University of Bern,university,science_dev
Birmingham,university,science_dev
Glasgow,university,science_dev
University of Wales,university,science_dev
University of Stuttgart,university,science_dev
Lone Star College System,university,science_dev
San Jacinto College,university,science_dev
University of Ljubljana,university,science_dev
University of Zagreb,university,science_dev
University of Udine,university,science_dev
University of Leoben,university,science_dev
"California State University , Chico",university,science_dev
Colgate University,university,science_dev
University of Amsterdam,university,science_dev
Maynooth University,university,science_dev
Odessa University,university,science_dev
Saint Petersburg State University,university,science_dev
RCS,university,science_dev
Royal School of Mines,university,science_dev
City and Guilds Central Technical College,university,science_dev
Imperial College of Science and Technology,university,science_dev
Constituent College of Imperial,university,science_dev
Jack Welch Management Institute,university,science_dev
JWMI,university,science_dev
Chancellor University,university,science_dev
Henderson State University,university,science_dev
Arkadelphia Methodist College,university,science_dev
Arkansas State University System,university,science_dev
Ouachita Baptist University,university,science_dev
Heidelberg University,university,science_dev
University of Marburg,university,science_dev
Caltech,university,science_dev
University of Sydney,university,science_test
University of Tübingen,university,science_test
"All Souls College , Oxford",university,science_test
Royal College of Physicians,university,science_test
Pacific Union College,university,science_test
Indian Institute of Management Indore,university,science_test
Indian Institute of Technology Indore,university,science_test
University of East London,university,science_test
University of Tsukuba,university,science_test
Zhejiang University,university,science_test
California Institute of Technology,university,science_test
Georg August University of Göttingen,university,science_test
University of Cambridge,university,science_test
Harold Washington College,university,science_test
Columbia University,university,science_test
University of Antwerp,university,science_test
Liverpool John Moores University,university,science_test
"University of California , Berkeley",university,science_test
University of Würzburg,university,science_test
University of Bonn,university,science_test
CMS College Kottayam,university,science_test
Madras Christian College,university,science_test
National Taiwan Ocean University,university,science_test
Ching Kuo Institute of Management and Health,university,science_test
Chungyu Institute of Technology,university,science_test
University of Madras,university,science_test
Presidency College,university,science_test
Queen Mary 's College,university,science_test
St. Xavier 's College,university,science_test
Government Law College,university,science_test
Jai Hind College,university,science_test
Grant Medical College,university,science_test
Exeter,university,science_test
Ray Kurzweil,researcher,ai_dev
Hans Moravec,researcher,ai_dev
Kevin Kelly,researcher,ai_dev
Ralph Merkle,researcher,ai_dev
Bill Joy,researcher,ai_dev
Frank Drake,researcher,ai_dev
John Henry Holland,researcher,ai_dev
John Koza,researcher,ai_dev
Scheinman,researcher,ai_dev
Banerjee,researcher,ai_dev
Lavie,researcher,ai_dev
Ian Niles,researcher,ai_dev
Adam Pease,researcher,ai_dev
Webber,researcher,ai_dev
Ulf Grenander,researcher,ai_dev
Marvin Minsky,researcher,ai_dev
Seymour Papert,researcher,ai_dev
Hal Abelson,researcher,ai_dev
Gerald Jay Sussman,researcher,ai_dev
Ghahramani,researcher,ai_dev
Geoffrey Hinton,researcher,ai_dev
Lafferty,researcher,ai_dev
Eugene Charniak,researcher,ai_dev
Terry Winograd,researcher,ai_dev
Christian Gottlieb Kratzenstein,researcher,ai_dev
Mehler,researcher,ai_dev
s.Jenny Rose Finkel,researcher,ai_dev
Alex Kleeman,researcher,ai_dev
Christopher D. Manning,researcher,ai_dev
Kevin Warwick,researcher,ai_dev
Goostman,researcher,ai_dev
Victor Gershevich Katz,researcher,ai_dev
Mikhail Gershevich Katz,researcher,ai_dev
Sepp Hochreiter,researcher,ai_dev
Jürgen Schmidhuber,researcher,ai_dev
Lawrence J. Fogel,researcher,ai_dev
Doug,researcher,ai_dev
Alan,researcher,ai_dev
Allen Newell,researcher,ai_dev
Edward Feigenbaum,researcher,ai_dev
John McCarthy,researcher,ai_dev
Zurada,researcher,ai_dev
Yann LeCun,researcher,ai_dev
Bengio,researcher,ai_dev
Miller,researcher,ai_dev
Wydner,researcher,ai_dev
Victor Scheinman,researcher,ai_dev
Sycara,researcher,ai_dev
George Cybenko,researcher,ai_dev
Cybenko G.,researcher,ai_dev
Sowa,researcher,ai_dev
Posner,researcher,ai_dev
Rodney Brooks,researcher,ai_dev
Mark Tilden,researcher,ai_dev
David,researcher,ai_dev
Judah Levine,researcher,ai_dev
Cade Metz,researcher,ai_dev
Tim Berners-Lee,researcher,ai_dev
Roger Schank,researcher,ai_dev
Yorick Wilks,researcher,ai_dev
Y. Bengio,researcher,ai_dev
P. Frasconi,researcher,ai_dev
George Miller,researcher,ai_dev
Harry Blum,researcher,ai_dev
Getoor,researcher,ai_dev
Daniel G. Bobrow,researcher,ai_dev
Qiang Zhu,researcher,ai_dev
Shai Avidan,researcher,ai_dev
Mei-Chen Yeh,researcher,ai_dev
Kwang-Ting Cheng,researcher,ai_dev
Hayes,researcher,ai_dev
Terzopoulos,researcher,ai_dev
Norman,researcher,ai_dev
Allan M. Collins,researcher,ai_dev
David E. Rumelhart,researcher,ai_dev
Ronald J. Williams,researcher,ai_dev
Hinton,researcher,ai_dev
Alex Krizhevsky,researcher,ai_dev
Sydney Lamb,researcher,ai_dev
Schank,researcher,ai_dev
Robert Wilensky,researcher,ai_dev
Wendy Lehnert,researcher,ai_dev
Janet Kolodner,researcher,ai_dev
Herbert Bay,researcher,ai_dev
Tinne Tuytelaars,researcher,ai_dev
Luc Van Gool,researcher,ai_dev
Kass,researcher,ai_dev
Witkin,researcher,ai_dev
Devol,researcher,ai_dev
Xavier Anguera,researcher,ai_dev
Erik Miller,researcher,ai_dev
Nicholas Matsakis,researcher,ai_dev
Paul Viola,researcher,ai_dev
Gregory I. Piatetsky-Shapiro,researcher,ai_dev
Usama Fayyad,researcher,ai_dev
Pat Ambler,researcher,ai_dev
Robin Popplestone,researcher,ai_dev
Austin Tate,researcher,ai_dev
Donald Mitchie,researcher,ai_dev
Dr. Paulos,researcher,ai_dev
Ron Sun,researcher,ai_dev
Vasant Honavar,researcher,ai_dev
Gregg Oden,researcher,ai_dev
Cordell Green,researcher,ai_dev
Joshua Lederberg,researcher,ai_dev
Paul Cohen,researcher,ai_dev
Herbert Simon,researcher,ai_dev
Alan Turing,researcher,ai_dev
Herbert A. Simon,researcher,ai_dev
Engelberger,researcher,ai_test
Mikolov,researcher,ai_test
Gebel,researcher,ai_test
Johnson-Laird,researcher,ai_test
William James,researcher,ai_test
Rui Hu,researcher,ai_test
Mark Banard,researcher,ai_test
John Collomosse,researcher,ai_test
Richard Zemel,researcher,ai_test
Zoubin Ghahramani,researcher,ai_test
Thrun,researcher,ai_test
Wolfram Burgard,researcher,ai_test
Dieter Fox,researcher,ai_test
George Devol,researcher,ai_test
Steve Mann,researcher,ai_test
Ray Solomonoff,researcher,ai_test
Samuel Rathmanner,researcher,ai_test
Marcus Hutter,researcher,ai_test
Papineni,researcher,ai_test
.P. Viola,researcher,ai_test
M. Jones,researcher,ai_test
Demis Hassabis,researcher,ai_test
Shane Legg,researcher,ai_test
James S. Albus,researcher,ai_test
Gerd Gigerenzer,researcher,ai_test
Cardie,researcher,ai_test
G. A. Miller,researcher,ai_test
R. Beckwith,researcher,ai_test
C. D. Fellbaum,researcher,ai_test
D. Gross,researcher,ai_test
K. Miller,researcher,ai_test
Felix Gers,researcher,ai_test
Fred Cummins,researcher,ai_test
Alex Graves,researcher,ai_test
Schmidhuber,researcher,ai_test
Arthur Samuel,researcher,ai_test
Youden 's J,researcher,ai_test
Tetreault,researcher,ai_test
Thad Starner,researcher,ai_test
Alex Pentland,researcher,ai_test
John D. Lafferty,researcher,ai_test
Andrew McCallum,researcher,ai_test
Pereiramath,researcher,ai_test
Breiman,researcher,ai_test
Milner,researcher,ai_test
John Searle,researcher,ai_test
Flores,researcher,ai_test
Navneet Dalal,researcher,ai_test
Bill Triggs,researcher,ai_test
Michael L. Littman,researcher,ai_test
David A. McAllester,researcher,ai_test
Richard S. Sutton,researcher,ai_test
Michael Collins,researcher,ai_test
Bonn,researcher,ai_test
Sebastian Thrun,researcher,ai_test
Yoshua Bengio,researcher,ai_test
Atran,researcher,ai_test
Leonard Uhr,researcher,ai_test
Sussman,researcher,ai_test
Winograd,researcher,ai_test
Thorne McCarty,researcher,ai_test
Keutzer,researcher,ai_test
Berners-Lee,researcher,ai_test
James Hendler,researcher,ai_test
Ora Lassila,researcher,ai_test
Gerry Sussman,researcher,ai_test
Walter,researcher,ai_test
Stephen H. Muggleton,researcher,ai_test
Fumitada Itakura,researcher,ai_test
Shuzo Saito,researcher,ai_test
Wally Feurzeig,researcher,ai_test
Cynthia Solomon,researcher,ai_test
John F. Sowa,researcher,ai_test
John Zachman,researcher,ai_test
Pausch,researcher,ai_test
Honglak Lee,researcher,ai_test
Roger Grosse,researcher,ai_test
Rajesh Ranganath,researcher,ai_test
Andrew Y. Ng,researcher,ai_test
Dr. Julesz,researcher,ai_test
Lenat,researcher,ai_test
Ernest Friedman-Hill,researcher,ai_test
Werbos,researcher,ai_test
Williams,researcher,ai_test
Robinson,researcher,ai_test
Pearlmutter,researcher,ai_test
David Blei,researcher,ai_test
Andrew Ng,researcher,ai_test
Michael I. Jordan,researcher,ai_test
Sirovich,researcher,ai_test
Kirby,researcher,ai_test
Matthew Turk,researcher,ai_test
"Turk , Matthew A",researcher,ai_test
"Pentland , Alex P.",researcher,ai_test
Allen,researcher,ai_test
C. Raymond Perrault,researcher,ai_test
Christensen,researcher,ai_test
Rousseeuw,researcher,ai_test
Leroy,researcher,ai_test
Bishnu S. Atal,researcher,ai_test
Manfred R. Schroeder,researcher,ai_test
Dalal,researcher,ai_test
Triggs,researcher,ai_test
Cordelia Schmid,researcher,ai_test
X.Y. Feng,researcher,ai_train
H. Zhang,researcher,ai_train
Y.J. Ren,researcher,ai_train
P.H. Shang,researcher,ai_train
Y. Zhu,researcher,ai_train
Y.C. Liang,researcher,ai_train
R.C. Guan,researcher,ai_train
D. Xu,researcher,ai_train
Geoff Hinton,researcher,ai_train
Ronald Fisher,researcher,ai_train
Bliss,researcher,ai_train
Hutter,researcher,ai_train
David Norris,researcher,ai_train
Laurent Cohen,researcher,ai_train
Dehaene,researcher,ai_train
Collins,researcher,ai_train
Kenneth Ford,researcher,ai_train
Simon Newcomb,researcher,ai_train
Reginald Fessenden,researcher,ai_train
C. Papageorgiou,researcher,ai_train
T. Poggio,researcher,ai_train
N. Dalal,researcher,ai_train
B. Triggs,researcher,ai_train
Haralick,researcher,ai_train
Navdeep Jaitly,researcher,ai_train
Xu,researcher,ai_train
Doug Lenat,researcher,ai_train
Poggio,researcher,ai_train
David Hays,researcher,ai_train
Boris Katz,researcher,ai_train
India,country,ai_dev
Pakistan,country,ai_dev
Sweden,country,ai_dev
Switzerland,country,ai_dev
Germany,country,ai_dev
Italy,country,ai_dev
U.S.,country,ai_dev
Canada,country,ai_dev
Mexico,country,ai_dev
Brazil,country,ai_dev
Argentina,country,ai_dev
Denmark,country,ai_dev
Indonesia,country,ai_dev
US,country,ai_dev
UK,country,ai_dev
United States,country,ai_dev
Netherlands,country,ai_dev
Tokugawa Shogunate,country,ai_dev
the U.S.,country,ai_dev
Austria-Hungary,country,ai_dev
Czechoslovakia,country,ai_dev
Czech Republic,country,ai_dev
Spain,country,ai_dev
China,country,ai_dev
Greece,country,ai_dev
Portugal,country,ai_dev
France,country,ai_dev
Lithuania,country,ai_dev
Korea,country,ai_dev
Soviet Union,country,ai_test
United Kingdom,country,ai_test
Thailand,country,ai_test
Japan,country,ai_test
Egypt,country,ai_test
Syria,country,ai_test
Australia,country,ai_test
England,country,ai_test
Hungary,country,ai_test
the United States,country,ai_test
Soviet,country,ai_test
Uzbek Soviet Socialist Republic,country,ai_test
Singapore,country,ai_test
South Korea,country,ai_test
Sri Lanka,country,ai_test
Poland,country,ai_train
Malaysia,country,ai_train
Philippines,country,ai_train
Russia,country,ai_train
South Africa,country,ai_train
Taiwan,country,ai_train
Turkey,country,ai_train
Moldova,country,ai_train
Kenyan,country,science_dev
Costa Rica,country,science_dev
Newfoundland Colony,country,science_test
Expo II,location,ai_dev
Medan,location,ai_dev
Jakarta,location,ai_dev
Bandung,location,ai_dev
Purwokerto,location,ai_dev
Malang,location,ai_dev
Valencia 's City of arts and Sciences,location,ai_dev
Houston,location,ai_dev
Detroit,location,ai_dev
Michigan,location,ai_dev
TCF Center,location,ai_dev
Ford Field,location,ai_dev
Rochester Hills,location,ai_dev
Hronov,location,ai_dev
Bohemia,location,ai_dev
Colegio Miguel Hernández,location,ai_dev
Ceulaj,location,ai_dev
Municipal Sport Arena of Benalmádena,location,ai_dev
Málaga,location,ai_dev
Valencia County Fair,location,ai_dev
City of Arts and Sciences,location,ai_dev
Valencia,location,ai_dev
The Computer Museum,location,ai_dev
Boston,location,ai_dev
Hanscom Air Force Base,location,ai_dev
Bedford,location,ai_dev
Massachusetts,location,ai_dev
Rancho Los Amigos National Rehabilitation Center,location,ai_dev
Downey,location,ai_dev
California,location,ai_dev
Sång-Säby,location,ai_dev
Caja Mágica,location,ai_dev
Madrid,location,ai_dev
Atlanta,location,ai_dev
Georgia,location,ai_dev
Asia / Pacific,location,ai_dev
