term,annotation,df
primary glioblastomas,Disease,ncbi
metastasis,Disease,ncbi
schwartz - jampel chondrodystrophic myotonia,Disease,ncbi
schwartz - jampel syndrome,Disease,ncbi
sjs,Disease,ncbi
chondrodystrophic myotonia,Disease,ncbi
recessively inherited condition,Disease,ncbi
bone dysplasia,Disease,ncbi
sjs type 1a,Disease,ncbi
pyle disease,Disease,ncbi
sjs type 2,Disease,ncbi
kidney cancer,Disease,ncbi
wilms tumour,Disease,ncbi
wt,Disease,ncbi
sporadic wilms tumours,Disease,ncbi
denys - drash syndrome,Disease,ncbi
renal nephropathy,Disease,ncbi
gonadal anomaly,Disease,ncbi
predisposition to wt,Disease,ncbi
juvenile granulosa cell tumour,Disease,ncbi
non - asbestos related mesothelioma,Disease,ncbi
desmoplastic small round cell tumour,Disease,ncbi
acute myeloid leukemia,Disease,ncbi
autosomal dominant myotonia congenita,Disease,ncbi
inherited disorder of skeletal muscle,Disease,ncbi
insulin - dependent diabetes mellitus,Disease,ncbi
iddm,Disease,ncbi
deficiency of terminal complement components,Disease,ncbi
neisseria infections,Disease,ncbi
inherited c9 deficiency,Disease,ncbi
c9 deficiency,Disease,ncbi
breast cancers,Disease,ncbi
solid tumors,Disease,ncbi
tumor types,Disease,ncbi
pancreatic tumors,Disease,ncbi
c9 - deficient,Disease,ncbi
complete deficiency of c9,Disease,ncbi
estrogen receptor - positive breast carcinomas,Disease,ncbi
c7 deficiency,Disease,ncbi
c7 - deficient,Disease,ncbi
classical and duarte galactosemia,Disease,ncbi
classical galactosemia,Disease,ncbi
genetic disorder,Disease,ncbi
hematopoietic and solid tumors,Disease,ncbi
solid tumor,Disease,ncbi
acute radiation toxicity,Disease,ncbi
cancer - associated diseases,Disease,ncbi
t - cell lymphomas,Disease,ncbi
dystrophia myotonica,Disease,ncbi
autosomal dominant multisystem disorder,Disease,ncbi
neuromuscular disease,Disease,ncbi
von hippel - lindau tumor,Disease,ncbi
clear - cell renal cell carcinoma,Disease,ncbi
rcc,Disease,ncbi
von hippel - lindau disease - associated and sporadic rccs,Disease,ncbi
rcc - and von hippel - lindau disease - associated tumors,Disease,ncbi
von hippel - lindau disease,Disease,ncbi
adult onset globoid cell leukodystrophy,Disease,ncbi
krabbe disease,Disease,ncbi
ao - gld,Disease,ncbi
spastic paraplegia,Disease,ncbi
diminished galc activity,Disease,ncbi
if - gld,Disease,ncbi
gld,Disease,ncbi
adenomatous polyposis coli tumour,Disease,ncbi
adenomatous polyposis coli ( apc ) tumour,Disease,ncbi
colon carcinoma,Disease,ncbi
hereditary non - polyposis cancer syndrome,Disease,ncbi
colorectal,Disease,ncbi
"colorectal , endometrial , and ovarian cancers",Disease,ncbi
premenopausal ovarian cancer,Disease,ncbi
alzheimer disease,Disease,ncbi
neurological diseases,Disease,ncbi
neurodegeneration,Disease,ncbi
familial deficiency of the seventh component of complement,Disease,ncbi
bacteremic infections due to neisseria,Disease,ncbi
disseminated gonococcal infection,Disease,ncbi
meningococcal meningitis,Disease,ncbi
arthritis,Disease,ncbi
absence of functional c7,Disease,ncbi
complete absence of c7,Disease,ncbi
bacteremic neisseria infections,Disease,ncbi
cartilage - hair hypoplasia,Disease,ncbi
chh,Disease,ncbi
non - hodgkins lymphoma,Disease,ncbi
basal cell carcinoma,Disease,ncbi
dihydropyrimidine dehydrogenase deficiency,Disease,ncbi
dihydropyrimidine dehydrogenase ( dpd ) deficiency,Disease,ncbi
autosomal recessive disease,Disease,ncbi
dpd deficiency,Disease,ncbi
deficiency of dpd,Disease,ncbi
dpd,Disease,ncbi
convulsive disorders,Disease,ncbi
motor retardation,Disease,ncbi
clinical abnormalities,Disease,ncbi
borjeson - forssman - lehmann syndrome,Disease,ncbi
bfls,Disease,ncbi
x - linked mental retardation,Disease,ncbi
bfls syndrome,Disease,ncbi
familial gastric cancer,Disease,ncbi
gastric cancer,Disease,ncbi
gastric and colorectal cancer,Disease,ncbi
gastric cancers,Disease,ncbi
colorectal and other cancers,Disease,ncbi
gastric and colorectal cancers,Disease,ncbi
urogenital abnormalities,Disease,ncbi
wilms tumor,Disease,ncbi
wt1 dysfunction,Disease,ncbi
neoplastic,Disease,ncbi
mesothelioma,Disease,ncbi
leukemias,Disease,ncbi
nonneoplastic,Disease,ncbi
glomerulosclerosis,Disease,ncbi
dds,Disease,ncbi
nephropathy,Disease,ncbi
mesangial sclerosis,Disease,ncbi
pseudohermaphroditism,Disease,ncbi
male genital defects,Disease,ncbi
wilms tumorigenesis,Disease,ncbi
hereditary hemochromatosis,Disease,ncbi
hh,Disease,ncbi
dietary iron deficiency,Disease,ncbi
adrenoleukodystrophy,Disease,ncbi
dying - back axonopathy,Disease,ncbi
spinal sep abnormalities,Disease,ncbi
spinal abnormalities,Disease,ncbi
inflammatory brain lesions,Disease,ncbi
oromandibular dystonia,Disease,ncbi
dystonia,Disease,ncbi
dystonic,Disease,ncbi
dopa - responsive dystonia,Disease,ncbi
deficiency of the ninth component of human complement,Disease,ncbi
complement deficiency,Disease,ncbi
hereditary hemochromatotic,Disease,ncbi
recessive disorder,Disease,ncbi
serositis,Disease,ncbi
synovitis,Disease,ncbi
disorder of lymphocyte homeostasis and immunological tolerance,Disease,ncbi
hemochromatosis,Disease,ncbi
genetic hemochromatosis,Disease,ncbi
gh,Disease,ncbi
infectious diseases,Disease,ncbi
genetic disorders,Disease,ncbi
anemia,Disease,ncbi
aku,Disease,ncbi
inborn error of metabolism,Disease,ncbi
non - syndromic hearing loss,Disease,ncbi
enlarged vestibular aqueduct,Disease,ncbi
pds,Disease,ncbi
eva,Disease,ncbi
inner ear abnormality,Disease,ncbi
non - syndromic sensorineural hearing loss,Disease,ncbi
pendred syndrome,Disease,ncbi
syndromic and non - syndromic hearing loss,Disease,ncbi
inherited disease,Disease,ncbi
neurologic dysfunction,Disease,ncbi
childhood cerebral ald,Disease,ncbi
neurologic deterioration,Disease,ncbi
addison disease,Disease,ncbi
skin tumour,Disease,ncbi
colon cancers,Disease,ncbi
colon and some other cancers,Disease,ncbi
skin tumours,Disease,ncbi
pilomatricomas,Disease,ncbi
syndromic deafness,Disease,ncbi
sensorineural hearing loss,Disease,ncbi
goitre,Disease,ncbi
adenoma,Disease,ncbi
autosomal recessive genetic disorder,Disease,ncbi
adrenoleukodystrophy protein deficiency,Disease,ncbi
x - ald,Disease,ncbi
inherited defects,Disease,ncbi
peroxisomal disorder,Disease,ncbi
chromosomal abnormalities,Disease,ncbi
aneuploidy,Disease,ncbi
"autoimmune lymphoproliferative syndrome , type ia",Disease,ncbi
fabry disease,Disease,ncbi
fd,Disease,ncbi
angiokeratoma corporis diffusum,Disease,ncbi
x - linked inborn error of glycosphingolipid metabolism,Disease,ncbi
angiokeratoma,Disease,ncbi
severe acroparesthesia,Disease,ncbi
renal failure,Disease,ncbi
vasculopathy of the heart and brain,Disease,ncbi
alpha - galactosidase deficiency,Disease,ncbi
alpha - gal a deficiency,Disease,ncbi
pelizaeus merzbacher disease,Disease,ncbi
familial apc,Disease,ncbi
colorectal adenomas,Disease,ncbi
carcinomas,Disease,ncbi
polyposis,Disease,ncbi
attenuated polyposis,Disease,ncbi
colorectal tumor,Disease,ncbi
combined genetic deficiency of c6 and c7,Disease,ncbi
sub - total deficiency of c6 and c7,Disease,ncbi
c6 deficiency,Disease,ncbi
x - linked emery - dreifuss muscular dystrophy,Disease,ncbi
x - linked recessive muscular dystrophy,Disease,ncbi
"contractures of the elbows , achilles tendons and spine",Disease,ncbi
muscle wasting,Disease,ncbi
weakness,Disease,ncbi
cardiomyopathy,Disease,ncbi
cardiac conduction defects,Disease,ncbi
elbow contractures,Disease,ncbi
ankle contractures,Disease,ncbi
upper limb weakness,Disease,ncbi
lower limb weakness,Disease,ncbi
cardiac involvement,Disease,ncbi
van der woude syndrome,Disease,ncbi
vws,Disease,ncbi
cleft lip,Disease,ncbi
cleft palate,Disease,ncbi
lip pits,Disease,ncbi
cleft lip / palate,Disease,ncbi
developmental delays,Disease,ncbi
popliteal pterygia syndrome,Disease,ncbi
syndromic forms of cleft lip and palate,Disease,ncbi
nonsyndromic cleft lip and palate,Disease,ncbi
familial hypertrophic cardiomyopathy,Disease,ncbi
fhc,Disease,ncbi
idiopathic dilated cardiomyopathy,Disease,ncbi
idc,Disease,ncbi
overgrowth of oral mucosa and facial skin,Disease,ncbi
aspartylglucosaminuria,Disease,ncbi
agu,Disease,ncbi
lysosomal storage disorder,Disease,ncbi
deficiency of aspartylglucosaminidase,Disease,ncbi
facial lesions,Disease,ncbi
erythema of the facial skin,Disease,ncbi
facial angiofibromas,Disease,ncbi
tuberous sclerosis,Disease,ncbi
oedemic buccal mucosa,Disease,ncbi
leucoedema,Disease,ncbi
gingival overgrowths,Disease,ncbi
oral mucosal lesions,Disease,ncbi
fibroepithelial or epithelial hyperplasias,Disease,ncbi
mucosal lesions,Disease,ncbi
mucosal overgrowth,Disease,ncbi
lowe syndrome,Disease,ncbi
oculocerebrorenal syndrome of lowe,Disease,ncbi
ocrl,Disease,ncbi
x - linked disorder,Disease,ncbi
"abnormalities of eyes , nervous system , and kidneys",Disease,ncbi
recessively inherited disorder,Disease,ncbi
serosal inflammation,Disease,ncbi
renal amyloidosis,Disease,ncbi
fragile x syndrome,Disease,ncbi
fragile x,Disease,ncbi
mentally retarded,Disease,ncbi
hereditary prostate cancer,Disease,ncbi
hpc,Disease,ncbi
beta - glucuronidase deficiency,Disease,ncbi
mucopolysaccharidosis vii,Disease,ncbi
autosomal recessive lysosomal storage disorder,Disease,ncbi
mps vii,Disease,ncbi
rearrangement disorders,Disease,ncbi
congenital anomaly disorders,Disease,ncbi
malignant tumors,Disease,ncbi
cat - eye syndrome,Disease,ncbi
der ( ) syndrome,Disease,ncbi
velo - cardio - facial syndrome,Disease,ncbi
digeorge syndrome,Disease,ncbi
vcfs,Disease,ncbi
dgs,Disease,ncbi
myelinopathies,Disease,ncbi
hypomyelination of the pns,Disease,ncbi
inherited peripheral neuropathies,Disease,ncbi
charcot - marie - tooth type 1,Disease,ncbi
dejerine - sottas syndrome,Disease,ncbi
congenital hypomyelinating neuropathy,Disease,ncbi
autosomal recessive familial neurohypophyseal diabetes insipidus,Disease,ncbi
familial neurohypophyseal diabetes insipidus,Disease,ncbi
arginine vasopressin ( avp ) deficiency,Disease,ncbi
neuronal damage,Disease,ncbi
neurohypophyseal diabetes insipidus,Disease,ncbi
deficiency of active avp,Disease,ncbi
deficiency of glycosyl phosphatidylinositol ( gpi ) - anchored proteins,Disease,ncbi
paroxysmal nocturnal hemoglobinuria,Disease,ncbi
gpi - anchor deficiency,Disease,ncbi
embryonic lethality,Disease,ncbi
emd,Disease,ncbi
x - linked emd,Disease,ncbi
muscle weakness,Disease,ncbi
benign neuromuscular disorder,Disease,ncbi
loss of ambulation,Disease,ncbi
hepatoblastoma,Disease,ncbi
malignant tumor of the liver,Disease,ncbi
apc tumor,Disease,ncbi
hepatoblastomas,Disease,ncbi
hereditary progressive dystonia,Disease,ncbi
hpd,Disease,ncbi
drd,Disease,ncbi
genetic defect,Disease,ncbi
dyshormonogenic goiter,Disease,ncbi
sensory - neural deafness,Disease,ncbi
thyroid goiter,Disease,ncbi
type ii collagenopathy,Disease,ncbi
kyphoscoliosis,Disease,ncbi
midface hypoplasia,Disease,ncbi
myopia,Disease,ncbi
hearing loss,Disease,ncbi
von hippel - lindau,Disease,ncbi
vhl tumor,Disease,ncbi
nonpapillary renal cell carcinoma,Disease,ncbi
sporadic rcc,Disease,ncbi
chediak - higashi syndrome,Disease,ncbi
chs,Disease,ncbi
inherited disorder,Disease,ncbi
lymphoproliferative syndrome,Disease,ncbi
hemophagocytosis,Disease,ncbi
lymphoproliferative disease,Disease,ncbi
brain dysmyelinating disease,Disease,ncbi
x - linked developmental defect of myelination,Disease,ncbi
prader - willi and angelman syndromes,Disease,ncbi
angelman syndrome,Disease,ncbi
as,Disease,ncbi
neurobehavioral disorders,Disease,ncbi
pits and / or sinuses of the lower lip,Disease,ncbi
cl / p,Disease,ncbi
cp,Disease,ncbi
bifid uvula,Disease,ncbi
hypodontia,Disease,ncbi
h,Disease,ncbi
clefts,Disease,ncbi
mcleod syndrome,Disease,ncbi
muscular atrophy,Disease,ncbi
choreic movement,Disease,ncbi
acanthocytosis,Disease,ncbi
mcleod,Disease,ncbi
familial breast and ovarian cancers,Disease,ncbi
phenylalanine hydroxylase deficiency,Disease,ncbi
maternal phenylketonuria,Disease,ncbi
hyperphenylalaninemic,Disease,ncbi
maternal pku,Disease,ncbi
mild hyperphenylalaninemia,Disease,ncbi
mhp,Disease,ncbi
spinal xanthomatosis,Disease,ncbi
cerebrotendinous xanthomatosis,Disease,ncbi
spinal cord syndrome,Disease,ncbi
ctx,Disease,ncbi
white matter abnormalities,Disease,ncbi
chronic myelopathy,Disease,ncbi
autosomal dominant clefting condition,Disease,ncbi
mucous cysts,Disease,ncbi
lower - lip pits,Disease,ncbi
clefts to the lip and / or palate,Disease,ncbi
cleft lip and / or palate,Disease,ncbi
wilson disease,Disease,ncbi
intracellular copper accumulation,Disease,ncbi
late - onset hepatic nodular transformation,Disease,ncbi
copper toxicity disorder,Disease,ncbi
hepatic and neuro - logical abnormalities,Disease,ncbi
copper deficient,Disease,ncbi
morphological abnormalities,Disease,ncbi
cirrhosis,Disease,ncbi
neurological abnormalities,Disease,ncbi
copper deficiency,Disease,ncbi
cirrhotic liver disease,Disease,ncbi
machado - joseph disease,Disease,ncbi
trinucleotide repeat disorders,Disease,ncbi
mjd,Disease,ncbi
eye anomalies,Disease,ncbi
ocular anomalies,Disease,ncbi
peters anomaly,Disease,ncbi
corneal dystrophy,Disease,ncbi
congenital cataract,Disease,ncbi
foveal hypoplasia,Disease,ncbi
axenfeldt anomaly,Disease,ncbi
inherited breast - ovarian cancer,Disease,ncbi
dermatofibrosarcoma protuberans,Disease,ncbi
dfsp,Disease,ncbi
giant cell fibroblastoma,Disease,ncbi
zellweger syndrome,Disease,ncbi
zellweger spectrum of disease,Disease,ncbi
neonatal adrenoleukodystrophy,Disease,ncbi
infantile refsum disease,Disease,ncbi
x - linked recessive immunodeficiency,Disease,ncbi
thrombocytopenia,Disease,ncbi
eczema,Disease,ncbi
xlt,Disease,ncbi
duchenne muscular dystrophy,Disease,ncbi
dmd,Disease,ncbi
muscular injury,Disease,ncbi
muscular dystrophy,Disease,ncbi
multiple epiphyseal dysplasia,Disease,ncbi
club foot,Disease,ncbi
double layered patella,Disease,ncbi
recessive disorders,Disease,ncbi
achondrogenesis 1b,Disease,ncbi
atelosteogenesis 2,Disease,ncbi
hip dysplasia,Disease,ncbi
swelling of the ear pinna,Disease,ncbi
hitch hiker thumb,Disease,ncbi
dtdst disorders,Disease,ncbi
edm1,Disease,ncbi
edm2,Disease,ncbi
med,Disease,ncbi
edm4,Disease,ncbi
platyspondyly,Disease,ncbi
metatropic dysplasia,Disease,ncbi
sporadic colorectal cancers,Disease,ncbi
fap desmoids,Disease,ncbi
neurofibrosarcomas,Disease,ncbi
esophageal cancers,Disease,ncbi
bone and soft tissue tumors,Disease,ncbi
glioma,Disease,ncbi
glioblastomas,Disease,ncbi
neurofibrosarcoma,Disease,ncbi
excess iron deposits,Disease,ncbi
hepatic fibrosis,Disease,ncbi
excessive alcohol consumption,Disease,ncbi
microvesicular steatosis,Disease,ncbi
hepatomegaly,Disease,ncbi
skin pigmentation,Disease,ncbi
contractures of the achilles tendons,Disease,ncbi
contractures of the elbows,Disease,ncbi
cardiac abnormality,Disease,ncbi
sudden cardiac death,Disease,ncbi
duchenne / becker muscular dystrophy,Disease,ncbi
duchenne and becker muscular dystrophy,Disease,ncbi
bmd,Disease,ncbi
dmd defects,Disease,ncbi
muscle disease,Disease,ncbi
dmpk haploinsufficiency,Disease,ncbi
coats ' disease,Disease,ncbi
unilateral retinal telangiectasis,Disease,ncbi
coats disease,Disease,ncbi
abnormal retinal vascular development,Disease,ncbi
retinal telangiectasis,Disease,ncbi
intraretinal and subretinal lipid accumulation,Disease,ncbi
exudative retinal detachment,Disease,ncbi
coats telangiectasis,Disease,ncbi
deficiency of norrin,Disease,ncbi
seminoma,Disease,ncbi
medulloblastoma,Disease,ncbi
tumorogenesis,Disease,ncbi
iodide transport defect,Disease,ncbi
congenital hypothyroidism,Disease,ncbi
fndi,Disease,ncbi
deficiency of the hormone arginine vasopressin,Disease,ncbi
friedreich ataxia,Disease,ncbi
frda,Disease,ncbi
inherited ataxias,Disease,ncbi
autosomal recessive degenerative disorder,Disease,ncbi
progressive gait and limb ataxia,Disease,ncbi
absence of deep tendon reflexes,Disease,ncbi
extensor plantar responses,Disease,ncbi
loss of position and vibration sense,Disease,ncbi
mitochondrial disorder,Disease,ncbi
argininemia,Disease,ncbi
autossomal recessive disorder,Disease,ncbi
deficiency in the cytosolic liver - type arginase enzyme,Disease,ncbi
abnormality of cyp27,Disease,ncbi
wolfram syndrome,Disease,ncbi
autosomal recessive neurodegenerative disorder,Disease,ncbi
juvenile - onset diabetes mellitus,Disease,ncbi
optic atrophy,Disease,ncbi
psychiatric disorders,Disease,ncbi
diabetes mellitus,Disease,ncbi
amyloidosis,Disease,ncbi
chronic arthritis,Disease,ncbi
